Molecule : 4G1M
Nb of atoms : 119226
Nb of clusters : 36
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 12702 | (-0008.57 +0010.84 +0003.48) | 010.6537% |
| Cluster 0001 | 4934 | (-0020.39 +0010.69 +0003.24) | 004.1384% |
| Cluster 0002 | 11431 | (+0007.75 +0009.89 +0010.57) | 009.5877% |
| Cluster 0003 | 17164 | (+0008.38 +0022.81 +0006.70) | 014.3962% |
| Cluster 0004 | 5093 | (+0005.77 +0025.42 +0007.81) | 004.2717% |
| Cluster 0005 | 25432 | (-0007.25 +0013.01 +0030.54) | 021.3309% |
| Cluster 0006 | 7346 | (-0003.95 +0023.78 +0011.01) | 006.1614% |
| Cluster 0007 | 6746 | (-0011.71 +0023.58 -0001.48) | 005.6582% |
| Cluster 0008 | 3641 | (+0007.87 +0013.97 +0017.75) | 003.0539% |
| Cluster 0009 | 10084 | (-0015.77 +0016.14 +0017.63) | 008.4579% |
| Cluster 0010 | 0875 | (-0012.77 -0000.12 +0003.85) | 000.7339% |
| Cluster 0011 | 0872 | (-0006.90 +0018.20 +0013.44) | 000.7314% |
| Cluster 0012 | 0663 | (-0018.92 +0019.96 +0010.71) | 000.5561% |
| Cluster 0013 | 5985 | (-0002.67 +0005.21 +0021.02) | 005.0199% |
| Cluster 0014 | 1066 | (+0007.51 +0002.52 +0014.57) | 000.8941% |
| Cluster 0015 | 0010 | (+0011.01 +0009.15 +0012.43) | 000.0084% |
| Cluster 0016 | 2241 | (-0003.27 +0003.47 +0031.48) | 001.8796% |
| Cluster 0017 | 0178 | (-0001.61 -0001.05 +0012.32) | 000.1493% |
| Cluster 0018 | 0017 | (+0005.39 +0027.68 +0014.86) | 000.0143% |
| Cluster 0019 | 0038 | (-0003.70 +0017.12 +0021.19) | 000.0319% |
| Cluster 0020 | 0173 | (-0007.76 +0017.99 +0024.59) | 000.1451% |
| Cluster 0021 | 0001 | (-0001.79 +0016.14 +0026.20) | 000.0008% |
| Cluster 0022 | 0193 | (-0009.26 +0004.31 +0034.69) | 000.1619% |
| Cluster 0023 | 0174 | (-0016.75 +0006.03 -0006.74) | 000.1459% |
| Cluster 0024 | 0010 | (-0019.58 -0002.07 -0000.50) | 000.0084% |
| Cluster 0025 | 0001 | (-0012.92 +0002.98 -0007.22) | 000.0008% |
| Cluster 0026 | 0578 | (-0023.38 +0019.60 -0000.26) | 000.4848% |
| Cluster 0027 | 1277 | (+0000.57 +0020.58 -0001.52) | 001.0711% |
| Cluster 0028 | 0016 | (-0006.49 +0002.44 +0035.03) | 000.0134% |
| Cluster 0029 | 0014 | (-0000.12 +0015.97 -0002.22) | 000.0117% |
| Cluster 0030 | 0130 | (-0023.46 +0019.35 +0005.63) | 000.1090% |
| Cluster 0031 | 0066 | (-0011.30 +0007.92 +0012.71) | 000.0554% |
| Cluster 0032 | 0048 | (-0001.01 +0027.91 +0000.50) | 000.0403% |
| Cluster 0033 | 0012 | (-0013.45 +0008.46 +0025.37) | 000.0101% |
| Cluster 0034 | 0005 | (-0026.32 +0016.23 -0003.29) | 000.0042% |
| Cluster 0035 | 0010 | (-0016.42 +0017.53 -0008.04) | 000.0084% |
