Molecule : 4G1M
Nb of atoms : 109250
Nb of clusters : 10
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 21169 | (+0005.05 +0021.45 +0003.93) | 019.3767% |
| Cluster 0001 | 10840 | (-0007.73 +0011.06 +0003.69) | 009.9222% |
| Cluster 0002 | 1642 | (-0021.04 +0014.45 +0001.80) | 001.5030% |
| Cluster 0003 | 9124 | (-0007.00 +0022.78 +0011.58) | 008.3515% |
| Cluster 0004 | 7253 | (-0001.92 +0010.82 +0011.67) | 006.6389% |
| Cluster 0005 | 12380 | (+0012.22 +0020.15 +0011.34) | 011.3318% |
| Cluster 0006 | 6071 | (+0003.42 +0020.76 +0016.25) | 005.5570% |
| Cluster 0007 | 15290 | (-0010.59 +0014.87 +0026.24) | 013.9954% |
| Cluster 0008 | 20139 | (-0005.06 +0011.30 +0030.58) | 018.4339% |
| Cluster 0009 | 5342 | (+0008.44 +0012.02 +0017.79) | 004.8897% |
