Molecule : 4G1M
Nb of atoms : 158112
Nb of clusters : 10
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 18854 | (+0018.43 +0004.83 -0000.12) | 011.9245% |
| Cluster 0001 | 25561 | (+0013.39 +0015.80 -0000.13) | 016.1664% |
| Cluster 0002 | 7838 | (+0012.14 +0030.30 -0000.12) | 004.9572% |
| Cluster 0003 | 20394 | (+0013.97 +0018.86 -0000.06) | 012.8985% |
| Cluster 0004 | 14994 | (+0011.88 +0031.70 -0000.06) | 009.4832% |
| Cluster 0005 | 31023 | (+0018.50 +0005.42 -0000.05) | 019.6209% |
| Cluster 0006 | 0586 | (+0005.94 +0002.64 -0000.06) | 000.3706% |
| Cluster 0007 | 21001 | (+0018.94 +0008.71 +0000.00) | 013.2824% |
| Cluster 0008 | 16016 | (+0012.92 +0029.33 -0000.00) | 010.1295% |
| Cluster 0009 | 1845 | (+0007.95 +0008.43 +0000.01) | 001.1669% |
