Molecule : 4G1M
Nb of atoms : 89114
Nb of clusters : 21
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 10449 | (-0007.26 +0020.55 -0000.48) | 011.7254% |
| Cluster 0001 | 3051 | (-0016.34 +0009.94 +0000.25) | 003.4237% |
| Cluster 0002 | 9292 | (+0008.47 +0021.82 +0004.93) | 010.4271% |
| Cluster 0003 | 3239 | (-0000.47 +0008.79 +0005.11) | 003.6347% |
| Cluster 0004 | 0937 | (-0016.48 +0014.02 +0003.96) | 001.0515% |
| Cluster 0005 | 0032 | (-0024.11 +0019.05 +0006.33) | 000.0359% |
| Cluster 0006 | 6798 | (+0008.50 +0019.70 +0008.28) | 007.6284% |
| Cluster 0007 | 2202 | (-0013.80 +0013.45 +0008.56) | 002.4710% |
| Cluster 0008 | 1089 | (-0016.55 +0017.08 +0011.29) | 001.2220% |
| Cluster 0009 | 3071 | (+0009.47 +0024.86 +0011.18) | 003.4461% |
| Cluster 0010 | 1238 | (-0004.57 +0024.65 +0011.89) | 001.3892% |
| Cluster 0011 | 2420 | (+0006.73 +0006.95 +0011.45) | 002.7156% |
| Cluster 0012 | 2709 | (-0004.90 +0008.35 +0013.13) | 003.0399% |
| Cluster 0013 | 0192 | (+0007.95 +0005.24 +0013.76) | 000.2155% |
| Cluster 0014 | 6582 | (+0003.49 +0018.38 +0015.03) | 007.3860% |
| Cluster 0015 | 0699 | (-0018.76 +0016.94 +0014.69) | 000.7844% |
| Cluster 0016 | 6054 | (+0005.23 +0009.25 +0019.53) | 006.7935% |
| Cluster 0017 | 1056 | (+0001.43 +0019.73 +0017.12) | 001.1850% |
| Cluster 0018 | 6390 | (-0013.39 +0014.49 +0020.81) | 007.1706% |
| Cluster 0019 | 21477 | (-0006.27 +0012.53 +0032.13) | 024.1006% |
| Cluster 0020 | 0137 | (-0006.05 +0002.25 +0033.27) | 000.1537% |
