Molecule : 3VI4
Nb of atoms : 86056
Nb of clusters : 17
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 8657 | (+0005.25 -0002.11 -0011.50) | 010.0597% |
| Cluster 0001 | 7980 | (+0013.78 +0010.97 -0009.34) | 009.2730% |
| Cluster 0002 | 11954 | (+0009.89 +0005.48 -0005.23) | 013.8910% |
| Cluster 0003 | 2909 | (-0004.73 +0000.73 -0004.97) | 003.3804% |
| Cluster 0004 | 5314 | (+0003.39 +0005.47 +0000.31) | 006.1750% |
| Cluster 0005 | 4279 | (+0002.18 -0004.10 +0000.78) | 004.9723% |
| Cluster 0006 | 0696 | (-0008.79 -0001.73 -0001.77) | 000.8088% |
| Cluster 0007 | 3150 | (+0013.65 +0015.94 +0002.63) | 003.6604% |
| Cluster 0008 | 0100 | (-0009.80 -0010.50 +0003.29) | 000.1162% |
| Cluster 0009 | 2334 | (+0003.10 +0001.42 +0004.48) | 002.7122% |
| Cluster 0010 | 6627 | (+0012.24 +0017.15 +0004.69) | 007.7008% |
| Cluster 0011 | 7903 | (+0009.98 +0015.72 +0007.60) | 009.1836% |
| Cluster 0012 | 3484 | (-0001.98 -0002.86 +0008.56) | 004.0485% |
| Cluster 0013 | 15070 | (+0009.78 +0014.67 +0011.13) | 017.5119% |
| Cluster 0014 | 5043 | (-0001.00 -0000.96 +0010.71) | 005.8601% |
| Cluster 0015 | 0248 | (+0014.17 +0016.63 +0014.24) | 000.2882% |
| Cluster 0016 | 0308 | (+0004.98 +0006.83 +0014.10) | 000.3579% |
