Molecule : 4G1M
Nb of atoms : 158112
Nb of clusters : 35
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 4142 | (+0020.07 +0004.41 -0000.17) | 002.6197% |
| Cluster 0001 | 8456 | (+0012.93 +0019.86 -0000.19) | 005.3481% |
| Cluster 0002 | 0471 | (+0007.51 +0004.39 -0000.17) | 000.2979% |
| Cluster 0003 | 11369 | (+0015.15 +0009.80 -0000.13) | 007.1905% |
| Cluster 0004 | 2541 | (+0011.97 +0028.98 -0000.14) | 001.6071% |
| Cluster 0005 | 2030 | (+0017.29 +0002.82 -0000.10) | 001.2839% |
| Cluster 0006 | 4136 | (+0021.38 +0011.41 -0000.11) | 002.6159% |
| Cluster 0007 | 7355 | (+0010.93 +0019.27 -0000.11) | 004.6518% |
| Cluster 0008 | 11427 | (+0013.92 +0016.89 -0000.09) | 007.2272% |
| Cluster 0009 | 2073 | (+0021.50 +0004.79 -0000.09) | 001.3111% |
| Cluster 0010 | 16428 | (+0015.34 +0015.37 -0000.08) | 010.3901% |
| Cluster 0011 | 0278 | (+0022.23 -0002.10 -0000.07) | 000.1758% |
| Cluster 0012 | 0131 | (+0008.67 -0000.34 -0000.07) | 000.0829% |
| Cluster 0013 | 8684 | (+0017.76 +0007.37 -0000.06) | 005.4923% |
| Cluster 0014 | 0298 | (+0008.32 +0002.39 -0000.07) | 000.1885% |
| Cluster 0015 | 5681 | (+0012.45 +0027.85 -0000.06) | 003.5930% |
| Cluster 0016 | 20422 | (+0015.18 +0015.27 -0000.05) | 012.9162% |
| Cluster 0017 | 0025 | (+0020.43 -0005.98 -0000.04) | 000.0158% |
| Cluster 0018 | 3344 | (+0023.48 +0010.12 -0000.03) | 002.1150% |
| Cluster 0019 | 0179 | (+0021.17 -0003.34 -0000.03) | 000.1132% |
| Cluster 0020 | 0003 | (+0000.25 -0003.80 -0000.03) | 000.0019% |
| Cluster 0021 | 6585 | (+0013.52 +0019.67 -0000.03) | 004.1648% |
| Cluster 0022 | 10503 | (+0017.42 +0010.13 -0000.02) | 006.6428% |
| Cluster 0023 | 3935 | (+0012.25 +0030.25 -0000.02) | 002.4887% |
| Cluster 0024 | 7755 | (+0019.08 +0008.74 -0000.00) | 004.9048% |
| Cluster 0025 | 3703 | (+0014.63 +0023.16 -0000.01) | 002.3420% |
| Cluster 0026 | 0252 | (+0005.58 +0007.33 -0000.01) | 000.1594% |
| Cluster 0027 | 1794 | (+0012.62 +0033.82 -0000.00) | 001.1346% |
| Cluster 0028 | 5089 | (+0012.80 +0031.43 +0000.01) | 003.2186% |
| Cluster 0029 | 7534 | (+0017.37 +0012.26 +0000.02) | 004.7650% |
| Cluster 0030 | 0831 | (+0007.32 +0009.97 +0000.03) | 000.5256% |
| Cluster 0031 | 0046 | (+0022.99 -0004.85 +0000.02) | 000.0291% |
| Cluster 0032 | 0308 | (+0012.88 +0022.44 +0000.07) | 000.1948% |
| Cluster 0033 | 0158 | (+0022.84 +0004.74 +0000.07) | 000.0999% |
| Cluster 0034 | 0146 | (+0010.48 +0004.43 +0000.07) | 000.0923% |
