Molecule : 3VI3
Nb of atoms : 69060
Nb of clusters : 20
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 5258 | (+0014.38 +0008.15 -0000.22) | 007.6137% |
| Cluster 0001 | 4431 | (+0001.44 +0001.72 -0000.26) | 006.4162% |
| Cluster 0002 | 0889 | (-0002.14 -0009.67 -0000.20) | 001.2873% |
| Cluster 0003 | 0412 | (+0011.58 -0005.99 -0000.21) | 000.5966% |
| Cluster 0004 | 0763 | (-0004.19 +0003.77 -0000.18) | 001.1048% |
| Cluster 0005 | 4040 | (+0001.04 -0007.33 -0000.17) | 005.8500% |
| Cluster 0006 | 6134 | (+0007.09 +0003.90 -0000.16) | 008.8821% |
| Cluster 0007 | 0573 | (+0014.10 -0007.24 -0000.16) | 000.8297% |
| Cluster 0008 | 2838 | (+0002.65 +0006.64 -0000.13) | 004.1095% |
| Cluster 0009 | 14752 | (+0008.48 +0000.54 -0000.12) | 021.3611% |
| Cluster 0010 | 2005 | (+0002.22 -0008.23 -0000.09) | 002.9033% |
| Cluster 0011 | 2945 | (+0001.56 +0000.82 -0000.10) | 004.2644% |
| Cluster 0012 | 6290 | (+0016.30 +0006.56 -0000.09) | 009.1080% |
| Cluster 0013 | 0283 | (+0014.47 -0006.67 -0000.09) | 000.4098% |
| Cluster 0014 | 11363 | (+0009.10 +0001.43 -0000.06) | 016.4538% |
| Cluster 0015 | 0024 | (-0011.18 -0007.48 -0000.06) | 000.0348% |
| Cluster 0016 | 2273 | (+0003.93 +0003.69 +0000.03) | 003.2913% |
| Cluster 0017 | 2778 | (+0016.67 +0007.19 +0000.00) | 004.0226% |
| Cluster 0018 | 0474 | (-0000.56 -0009.28 +0000.01) | 000.6864% |
| Cluster 0019 | 0535 | (+0014.25 -0007.31 +0000.00) | 000.7747% |
