Molecule 1C3I :
Nb of atoms : 6800
Nb of clusters : 16
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2458 | (+0057.31 -0008.89 +0029.98) | 036.1471% |
| Cluster 0001 | 1139 | (+0034.14 -0006.52 +0024.24) | 016.7500% |
| Cluster 0002 | 1258 | (+0049.69 -0025.58 +0034.05) | 018.5000% |
| Cluster 0003 | 0221 | (+0030.91 -0021.74 +0024.31) | 003.2500% |
| Cluster 0004 | 0378 | (+0038.11 -0014.69 +0038.54) | 005.5588% |
| Cluster 0005 | 0132 | (+0032.11 -0009.07 +0035.92) | 001.9412% |
| Cluster 0006 | 0352 | (+0053.55 -0026.88 +0027.35) | 005.1765% |
| Cluster 0007 | 0138 | (+0047.78 -0008.94 +0035.17) | 002.0294% |
| Cluster 0008 | 0140 | (+0038.98 -0010.35 +0013.28) | 002.0588% |
| Cluster 0009 | 0364 | (+0051.80 -0012.15 +0016.93) | 005.3529% |
| Cluster 0010 | 0108 | (+0052.11 -0015.72 +0013.29) | 001.5882% |
| Cluster 0011 | 0078 | (+0046.34 -0028.28 +0006.07) | 001.1471% |
| Cluster 0012 | 0003 | (+0044.27 -0004.22 +0021.33) | 000.0441% |
| Cluster 0013 | 0018 | (+0050.03 -0032.60 +0019.78) | 000.2647% |
| Cluster 0014 | 0006 | (+0059.03 -0019.69 +0028.62) | 000.0882% |
| Cluster 0015 | 0007 | (+0056.28 -0030.48 +0007.86) | 000.1029% |
