Molecule 1IJB :
Nb of atoms : 9231
Nb of clusters : 24
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 0630 | (+0042.84 -0010.96 +0012.57) | 006.8248% |
| Cluster 0001 | 0128 | (+0050.50 -0008.28 -0006.43) | 001.3866% |
| Cluster 0002 | 0756 | (+0046.58 +0014.26 -0009.95) | 008.1898% |
| Cluster 0003 | 1428 | (+0040.78 +0027.11 -0000.02) | 015.4696% |
| Cluster 0004 | 2543 | (+0051.19 +0003.27 +0006.59) | 027.5485% |
| Cluster 0005 | 0292 | (+0028.32 +0016.80 -0007.61) | 003.1633% |
| Cluster 0006 | 0048 | (+0043.11 +0003.23 -0014.17) | 000.5200% |
| Cluster 0007 | 0437 | (+0039.74 -0001.09 +0017.76) | 004.7340% |
| Cluster 0008 | 0391 | (+0022.63 +0006.08 +0013.41) | 004.2357% |
| Cluster 0009 | 0044 | (+0025.98 -0001.97 -0007.83) | 000.4767% |
| Cluster 0010 | 0045 | (+0032.81 -0010.68 +0015.22) | 000.4875% |
| Cluster 0011 | 1262 | (+0042.68 +0016.12 +0009.25) | 013.6713% |
| Cluster 0012 | 0007 | (+0027.97 +0000.50 -0011.67) | 000.0758% |
| Cluster 0013 | 0034 | (+0032.46 -0017.49 +0000.32) | 000.3683% |
| Cluster 0014 | 0781 | (+0036.17 +0025.22 +0004.44) | 008.4606% |
| Cluster 0015 | 0276 | (+0042.10 +0027.20 +0002.79) | 002.9899% |
| Cluster 0016 | 0050 | (+0040.16 +0011.57 +0015.88) | 000.5417% |
| Cluster 0017 | 0004 | (+0034.13 +0005.44 +0022.20) | 000.0433% |
| Cluster 0018 | 0024 | (+0036.06 +0027.09 +0004.13) | 000.2600% |
| Cluster 0019 | 0007 | (+0051.65 +0003.57 -0006.72) | 000.0758% |
| Cluster 0020 | 0016 | (+0050.16 +0010.30 +0011.32) | 000.1733% |
| Cluster 0021 | 0011 | (+0025.67 +0027.67 -0007.21) | 000.1192% |
| Cluster 0022 | 0001 | (+0052.19 +0000.54 +0016.15) | 000.0108% |
| Cluster 0023 | 0016 | (+0026.46 +0017.31 +0006.01) | 000.1733% |
