Molecule 1JK3 :
Nb of atoms : 6800
Nb of clusters : 18
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1570 | (+0020.58 +0011.44 +0010.40) | 023.0882% |
| Cluster 0001 | 0485 | (+0021.58 +0005.93 +0000.62) | 007.1324% |
| Cluster 0002 | 1619 | (+0023.67 +0006.47 +0022.70) | 023.8088% |
| Cluster 0003 | 0231 | (+0024.83 -0012.02 +0015.75) | 003.3971% |
| Cluster 0004 | 0501 | (+0007.45 +0010.12 +0020.23) | 007.3676% |
| Cluster 0005 | 0505 | (+0004.71 +0016.23 +0014.35) | 007.4265% |
| Cluster 0006 | 0142 | (+0013.97 +0013.36 +0018.35) | 002.0882% |
| Cluster 0007 | 0082 | (+0019.48 +0004.02 -0002.26) | 001.2059% |
| Cluster 0008 | 0030 | (+0002.58 +0010.08 +0000.41) | 000.4412% |
| Cluster 0009 | 0009 | (+0011.18 +0016.73 +0003.91) | 000.1324% |
| Cluster 0010 | 0197 | (+0000.78 +0004.86 +0021.65) | 002.8971% |
| Cluster 0011 | 1143 | (+0010.89 -0006.69 +0018.71) | 016.8088% |
| Cluster 0012 | 0035 | (-0003.45 -0002.76 +0007.54) | 000.5147% |
| Cluster 0013 | 0047 | (+0004.14 -0008.85 +0015.33) | 000.6912% |
| Cluster 0014 | 0085 | (+0014.49 -0012.00 +0001.02) | 001.2500% |
| Cluster 0015 | 0011 | (+0020.41 -0015.38 +0012.91) | 000.1618% |
| Cluster 0016 | 0105 | (+0025.91 -0002.83 +0003.21) | 001.5441% |
| Cluster 0017 | 0003 | (+0006.88 +0003.93 +0000.04) | 000.0441% |
