Molecule 1MMQ :
Nb of atoms : 6800
Nb of clusters : 19
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1948 | (+0062.11 -0039.97 +0070.68) | 028.6471% |
| Cluster 0001 | 0630 | (+0044.96 -0034.27 +0071.47) | 009.2647% |
| Cluster 0002 | 0438 | (+0036.65 -0048.79 +0071.10) | 006.4412% |
| Cluster 0003 | 0062 | (+0049.18 -0053.08 +0070.30) | 000.9118% |
| Cluster 0004 | 0089 | (+0035.59 -0033.22 +0068.83) | 001.3088% |
| Cluster 0005 | 0021 | (+0057.39 -0049.83 +0076.93) | 000.3088% |
| Cluster 0006 | 0210 | (+0048.44 -0037.66 +0050.19) | 003.0882% |
| Cluster 0007 | 0895 | (+0042.43 -0027.69 +0056.30) | 013.1618% |
| Cluster 0008 | 0231 | (+0065.30 -0040.47 +0055.83) | 003.3971% |
| Cluster 0009 | 0006 | (+0039.40 -0028.13 +0054.87) | 000.0882% |
| Cluster 0010 | 0938 | (+0058.76 -0024.97 +0056.31) | 013.7941% |
| Cluster 0011 | 1209 | (+0065.08 -0029.45 +0067.01) | 017.7794% |
| Cluster 0012 | 0002 | (+0067.81 -0032.70 +0062.86) | 000.0294% |
| Cluster 0013 | 0013 | (+0064.21 -0032.04 +0050.34) | 000.1912% |
| Cluster 0014 | 0025 | (+0051.39 -0024.76 +0049.41) | 000.3676% |
| Cluster 0015 | 0062 | (+0049.13 -0026.03 +0066.00) | 000.9118% |
| Cluster 0016 | 0003 | (+0060.69 -0031.01 +0074.10) | 000.0441% |
| Cluster 0017 | 0001 | (+0041.94 -0031.24 +0067.94) | 000.0147% |
| Cluster 0018 | 0017 | (+0062.24 -0052.51 +0050.82) | 000.2500% |
