Molecule 1NUB :
Nb of atoms : 13600
Nb of clusters : 33
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 3196 | (+0015.42 +0044.44 +0043.23) | 023.5000% |
| Cluster 0001 | 1707 | (+0017.27 +0039.25 +0025.86) | 012.5515% |
| Cluster 0002 | 0634 | (+0012.96 +0031.42 +0048.48) | 004.6618% |
| Cluster 0003 | 0081 | (+0022.63 +0046.90 +0033.16) | 000.5956% |
| Cluster 0004 | 1113 | (+0032.14 +0029.13 +0032.01) | 008.1838% |
| Cluster 0005 | 0900 | (+0013.78 +0039.18 +0007.60) | 006.6176% |
| Cluster 0006 | 0272 | (-0004.97 +0025.49 +0024.82) | 002.0000% |
| Cluster 0007 | 0722 | (+0007.31 +0047.91 +0028.72) | 005.3088% |
| Cluster 0008 | 0330 | (-0003.45 +0040.69 +0019.86) | 002.4265% |
| Cluster 0009 | 0403 | (+0001.56 +0042.30 +0005.20) | 002.9632% |
| Cluster 0010 | 0499 | (+0021.46 +0045.21 -0000.31) | 003.6691% |
| Cluster 0011 | 0017 | (+0007.31 +0022.08 -0000.47) | 000.1250% |
| Cluster 0012 | 1012 | (+0034.79 +0026.82 +0032.75) | 007.4412% |
| Cluster 0013 | 1817 | (+0019.32 +0022.20 +0063.47) | 013.3603% |
| Cluster 0014 | 0011 | (+0028.16 +0040.62 +0028.01) | 000.0809% |
| Cluster 0015 | 0024 | (+0003.97 +0041.86 +0016.18) | 000.1765% |
| Cluster 0016 | 0003 | (+0020.41 +0044.89 +0007.99) | 000.0221% |
| Cluster 0017 | 0156 | (+0022.69 +0023.27 +0041.49) | 001.1471% |
| Cluster 0018 | 0116 | (+0022.76 +0027.77 +0026.87) | 000.8529% |
| Cluster 0019 | 0076 | (+0020.20 +0032.75 +0045.47) | 000.5588% |
| Cluster 0020 | 0003 | (+0031.32 +0038.08 +0040.10) | 000.0221% |
| Cluster 0021 | 0066 | (+0005.30 +0029.20 +0044.52) | 000.4853% |
| Cluster 0022 | 0045 | (+0003.78 +0019.57 +0020.74) | 000.3309% |
| Cluster 0023 | 0009 | (-0002.83 +0042.53 +0016.05) | 000.0662% |
| Cluster 0024 | 0014 | (+0003.47 +0018.97 +0033.58) | 000.1029% |
| Cluster 0025 | 0014 | (+0010.15 +0022.10 +0013.93) | 000.1029% |
| Cluster 0026 | 0106 | (-0001.88 +0038.87 +0038.29) | 000.7794% |
| Cluster 0027 | 0212 | (+0005.20 +0047.46 +0044.94) | 001.5588% |
| Cluster 0028 | 0008 | (+0011.16 +0028.36 +0028.27) | 000.0588% |
| Cluster 0029 | 0007 | (+0013.93 +0050.13 -0003.82) | 000.0515% |
| Cluster 0030 | 0004 | (+0010.12 +0048.16 +0001.87) | 000.0294% |
| Cluster 0031 | 0019 | (+0023.95 +0027.76 +0056.17) | 000.1397% |
| Cluster 0032 | 0004 | (-0001.19 +0032.39 +0042.94) | 000.0294% |
