Molecule 1UX6 :
Nb of atoms : 12818
Nb of clusters : 47
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1284 | (-0021.48 +0022.60 +0047.99) | 010.0172% |
| Cluster 0001 | 0850 | (+0003.86 +0031.22 +0041.63) | 006.6313% |
| Cluster 0002 | 0849 | (-0031.48 +0029.31 +0048.48) | 006.6235% |
| Cluster 0003 | 0619 | (-0042.63 +0031.94 +0050.26) | 004.8291% |
| Cluster 0004 | 0838 | (-0033.06 +0034.19 +0037.98) | 006.5377% |
| Cluster 0005 | 1930 | (+0014.13 +0030.14 +0025.14) | 015.0570% |
| Cluster 0006 | 0401 | (+0012.54 +0015.99 +0013.20) | 003.1284% |
| Cluster 0007 | 0493 | (+0010.71 +0021.89 +0036.59) | 003.8462% |
| Cluster 0008 | 1108 | (+0005.99 +0035.74 +0035.96) | 008.6441% |
| Cluster 0009 | 0068 | (+0013.80 +0010.85 +0027.16) | 000.5305% |
| Cluster 0010 | 0575 | (-0000.25 +0040.14 +0022.15) | 004.4859% |
| Cluster 0011 | 0012 | (+0015.23 +0010.98 +0029.23) | 000.0936% |
| Cluster 0012 | 0069 | (+0014.22 +0030.54 +0010.19) | 000.5383% |
| Cluster 0013 | 0033 | (+0004.89 +0011.08 +0004.72) | 000.2575% |
| Cluster 0014 | 0949 | (-0008.25 +0033.01 +0008.23) | 007.4037% |
| Cluster 0015 | 0038 | (+0002.60 +0035.50 +0008.61) | 000.2965% |
| Cluster 0016 | 0003 | (+0002.69 +0035.83 +0010.72) | 000.0234% |
| Cluster 0017 | 0280 | (-0019.49 +0031.62 +0010.64) | 002.1844% |
| Cluster 0018 | 0039 | (-0009.94 +0041.40 +0018.12) | 000.3043% |
| Cluster 0019 | 0210 | (-0021.55 +0035.38 +0021.84) | 001.6383% |
| Cluster 0020 | 0003 | (+0006.70 +0040.95 +0027.14) | 000.0234% |
| Cluster 0021 | 0007 | (+0003.53 +0033.34 +0005.07) | 000.0546% |
| Cluster 0022 | 0336 | (-0021.70 +0031.11 +0034.55) | 002.6213% |
| Cluster 0023 | 0025 | (-0039.57 +0030.39 +0024.88) | 000.1950% |
| Cluster 0024 | 0051 | (-0033.68 +0034.14 +0037.93) | 000.3979% |
| Cluster 0025 | 0443 | (-0021.73 +0016.25 +0028.69) | 003.4561% |
| Cluster 0026 | 0032 | (-0006.66 +0032.91 +0033.72) | 000.2496% |
| Cluster 0027 | 0861 | (-0006.13 +0012.67 +0032.46) | 006.7171% |
| Cluster 0028 | 0128 | (-0016.29 +0015.73 +0016.85) | 000.9986% |
| Cluster 0029 | 0014 | (-0020.24 +0015.54 +0019.32) | 000.1092% |
| Cluster 0030 | 0001 | (+0009.82 +0028.30 +0044.39) | 000.0078% |
| Cluster 0031 | 0020 | (+0004.50 +0013.30 +0035.40) | 000.1560% |
| Cluster 0032 | 0004 | (-0033.67 +0040.41 +0052.56) | 000.0312% |
| Cluster 0033 | 0097 | (-0034.02 +0019.84 +0045.58) | 000.7567% |
| Cluster 0034 | 0011 | (-0040.05 +0042.37 +0034.46) | 000.0858% |
| Cluster 0035 | 0011 | (-0014.16 +0041.00 +0029.32) | 000.0858% |
| Cluster 0036 | 0005 | (-0022.69 +0016.07 +0027.33) | 000.0390% |
| Cluster 0037 | 0012 | (-0017.09 +0015.23 +0038.62) | 000.0936% |
| Cluster 0038 | 0014 | (-0034.96 +0020.59 +0034.33) | 000.1092% |
| Cluster 0039 | 0001 | (+0017.59 +0020.86 +0028.67) | 000.0078% |
| Cluster 0040 | 0011 | (-0019.68 +0021.68 +0017.74) | 000.0858% |
| Cluster 0041 | 0017 | (-0004.48 +0018.34 +0000.40) | 000.1326% |
| Cluster 0042 | 0016 | (-0020.17 +0015.70 +0005.28) | 000.1248% |
| Cluster 0043 | 0003 | (-0034.14 +0035.18 +0027.21) | 000.0234% |
| Cluster 0044 | 0016 | (-0004.57 +0009.65 +0015.75) | 000.1248% |
| Cluster 0045 | 0017 | (-0033.32 +0022.77 +0013.24) | 000.1326% |
| Cluster 0046 | 0014 | (-0025.91 +0006.30 +0008.11) | 000.1092% |
