Molecule 2ERF :
Nb of atoms : 7446
Nb of clusters : 25
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 0740 | (+0040.75 -0012.69 +0023.89) | 009.9382% |
| Cluster 0001 | 0474 | (+0022.13 +0004.79 +0025.93) | 006.3658% |
| Cluster 0002 | 0457 | (+0028.49 +0014.29 +0028.89) | 006.1375% |
| Cluster 0003 | 0013 | (+0030.09 -0001.88 +0024.73) | 000.1746% |
| Cluster 0004 | 2026 | (+0052.39 +0009.08 +0022.45) | 027.2092% |
| Cluster 0005 | 1748 | (+0042.37 +0015.43 +0016.91) | 023.4757% |
| Cluster 0006 | 0172 | (+0046.18 +0003.88 +0029.99) | 002.3100% |
| Cluster 0007 | 0898 | (+0060.47 +0003.18 +0010.17) | 012.0602% |
| Cluster 0008 | 0019 | (+0047.06 -0008.57 +0027.06) | 000.2552% |
| Cluster 0009 | 0165 | (+0030.09 +0016.02 +0012.87) | 002.2160% |
| Cluster 0010 | 0002 | (+0017.52 +0010.86 +0026.53) | 000.0269% |
| Cluster 0011 | 0050 | (+0040.58 +0015.48 +0008.86) | 000.6715% |
| Cluster 0012 | 0103 | (+0024.01 +0010.27 +0004.30) | 001.3833% |
| Cluster 0013 | 0301 | (+0050.35 +0008.20 +0000.68) | 004.0424% |
| Cluster 0014 | 0009 | (+0024.71 +0011.14 +0001.37) | 000.1209% |
| Cluster 0015 | 0025 | (+0042.23 +0004.27 -0003.87) | 000.3358% |
| Cluster 0016 | 0017 | (+0026.12 -0009.50 +0002.12) | 000.2283% |
| Cluster 0017 | 0001 | (+0019.37 +0010.92 +0013.93) | 000.0134% |
| Cluster 0018 | 0060 | (+0063.58 -0006.99 +0019.17) | 000.8058% |
| Cluster 0019 | 0099 | (+0064.30 +0002.51 +0007.99) | 001.3296% |
| Cluster 0020 | 0028 | (+0047.36 -0006.74 +0031.11) | 000.3760% |
| Cluster 0021 | 0002 | (+0040.52 +0013.96 +0026.58) | 000.0269% |
| Cluster 0022 | 0012 | (+0053.06 +0001.41 +0013.24) | 000.1612% |
| Cluster 0023 | 0017 | (+0052.35 -0013.95 +0013.62) | 000.2283% |
| Cluster 0024 | 0008 | (+0054.73 -0000.95 -0001.18) | 000.1074% |
