Molecule 2FT3 :
Nb of atoms : 18241
Nb of clusters : 39
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 5104 | (+0077.39 +0014.92 +0093.38) | 027.9809% |
| Cluster 0001 | 0616 | (+0079.02 +0018.71 +0078.55) | 003.3770% |
| Cluster 0002 | 0838 | (+0073.24 +0012.21 +0103.11) | 004.5940% |
| Cluster 0003 | 3251 | (+0065.34 +0029.03 +0094.48) | 017.8225% |
| Cluster 0004 | 1355 | (+0054.15 +0029.61 +0087.97) | 007.4283% |
| Cluster 0005 | 0489 | (+0064.62 +0020.37 +0103.55) | 002.6808% |
| Cluster 0006 | 0193 | (+0069.24 +0027.32 +0087.52) | 001.0581% |
| Cluster 0007 | 2705 | (+0015.30 +0009.96 +0094.34) | 014.8292% |
| Cluster 0008 | 0465 | (+0045.50 +0004.26 +0069.08) | 002.5492% |
| Cluster 0009 | 0100 | (+0032.69 +0011.33 +0088.82) | 000.5482% |
| Cluster 0010 | 0098 | (+0020.19 +0004.95 +0076.76) | 000.5373% |
| Cluster 0011 | 0636 | (+0045.93 +0025.67 +0074.19) | 003.4867% |
| Cluster 0012 | 0158 | (+0051.33 +0020.07 +0093.50) | 000.8662% |
| Cluster 0013 | 0754 | (+0059.86 +0020.31 +0075.80) | 004.1335% |
| Cluster 0014 | 0083 | (+0066.51 +0009.47 +0109.60) | 000.4550% |
| Cluster 0015 | 0454 | (+0065.45 +0006.79 +0076.78) | 002.4889% |
| Cluster 0016 | 0001 | (+0058.75 +0018.85 +0076.06) | 000.0055% |
| Cluster 0017 | 0135 | (+0068.01 +0002.26 +0092.56) | 000.7401% |
| Cluster 0018 | 0220 | (+0052.65 -0001.61 +0073.07) | 001.2061% |
| Cluster 0019 | 0017 | (+0074.49 +0004.16 +0091.87) | 000.0932% |
| Cluster 0020 | 0003 | (+0053.79 -0001.87 +0071.54) | 000.0164% |
| Cluster 0021 | 0076 | (+0020.64 +0001.46 +0099.16) | 000.4166% |
| Cluster 0022 | 0001 | (+0046.98 -0001.06 +0070.53) | 000.0055% |
| Cluster 0023 | 0004 | (+0018.60 -0005.08 +0079.72) | 000.0219% |
| Cluster 0024 | 0147 | (+0034.35 -0002.36 +0093.57) | 000.8059% |
| Cluster 0025 | 0025 | (+0033.44 +0014.66 +0070.60) | 000.1371% |
| Cluster 0026 | 0005 | (+0059.29 +0017.54 +0100.47) | 000.0274% |
| Cluster 0027 | 0100 | (+0049.52 +0030.98 +0082.87) | 000.5482% |
| Cluster 0028 | 0070 | (+0042.34 +0011.40 +0089.28) | 000.3838% |
| Cluster 0029 | 0058 | (+0051.70 +0005.85 +0091.13) | 000.3180% |
| Cluster 0030 | 0015 | (+0053.67 +0004.05 +0093.14) | 000.0822% |
| Cluster 0031 | 0021 | (+0042.39 +0020.96 +0085.64) | 000.1151% |
| Cluster 0032 | 0002 | (+0068.93 +0002.74 +0102.58) | 000.0110% |
| Cluster 0033 | 0006 | (+0076.75 +0022.63 +0101.58) | 000.0329% |
| Cluster 0034 | 0008 | (+0054.96 -0002.76 +0082.15) | 000.0439% |
| Cluster 0035 | 0012 | (+0057.04 +0028.20 +0100.45) | 000.0658% |
| Cluster 0036 | 0004 | (+0036.42 +0022.82 +0072.89) | 000.0219% |
| Cluster 0037 | 0001 | (+0062.12 +0028.56 +0080.94) | 000.0055% |
| Cluster 0038 | 0011 | (+0021.65 +0005.56 +0102.83) | 000.0603% |
