Molecule 3MA2 :
Nb of atoms : 7531
Nb of clusters : 17
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2345 | (+0002.92 +0007.83 +0044.61) | 031.1380% |
| Cluster 0001 | 1523 | (+0001.24 +0020.38 +0032.92) | 020.2231% |
| Cluster 0002 | 0701 | (+0013.77 +0007.55 +0033.09) | 009.3082% |
| Cluster 0003 | 1561 | (-0003.29 +0021.75 +0053.07) | 020.7277% |
| Cluster 0004 | 0049 | (-0015.06 -0003.82 +0041.44) | 000.6506% |
| Cluster 0005 | 0142 | (-0019.39 +0007.50 +0046.86) | 001.8855% |
| Cluster 0006 | 0007 | (-0014.66 -0005.20 +0031.54) | 000.0929% |
| Cluster 0007 | 0138 | (-0017.71 +0017.23 +0050.02) | 001.8324% |
| Cluster 0008 | 0017 | (-0015.09 +0012.25 +0030.54) | 000.2257% |
| Cluster 0009 | 0574 | (+0004.21 +0018.28 +0050.12) | 007.6218% |
| Cluster 0010 | 0019 | (+0008.01 +0017.72 +0044.53) | 000.2523% |
| Cluster 0011 | 0035 | (-0008.00 +0021.93 +0040.28) | 000.4647% |
| Cluster 0012 | 0012 | (-0007.35 +0024.08 +0040.82) | 000.1593% |
| Cluster 0013 | 0145 | (-0009.50 +0005.69 +0055.64) | 001.9254% |
| Cluster 0014 | 0015 | (-0014.41 +0002.34 +0051.50) | 000.1992% |
| Cluster 0015 | 0001 | (-0010.66 -0004.61 +0054.95) | 000.0133% |
| Cluster 0016 | 0247 | (+0016.69 +0009.66 +0035.21) | 003.2798% |
