Molecule 3OVX :
Nb of atoms : 8500
Nb of clusters : 22
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2149 | (+0027.90 +0051.79 +0018.58) | 025.2824% |
| Cluster 0001 | 1559 | (+0037.66 +0048.51 +0006.32) | 018.3412% |
| Cluster 0002 | 0120 | (+0026.52 +0056.42 +0007.36) | 001.4118% |
| Cluster 0003 | 0021 | (+0005.07 +0027.03 +0018.66) | 000.2471% |
| Cluster 0004 | 1113 | (+0015.12 +0049.68 +0021.43) | 013.0941% |
| Cluster 0005 | 0994 | (+0028.64 +0032.74 +0020.83) | 011.6941% |
| Cluster 0006 | 0904 | (+0016.44 +0040.11 +0037.37) | 010.6353% |
| Cluster 0007 | 0161 | (+0023.43 +0045.85 +0032.82) | 001.8941% |
| Cluster 0008 | 0050 | (+0020.68 +0042.20 +0014.30) | 000.5882% |
| Cluster 0009 | 0010 | (+0032.72 +0042.62 +0020.52) | 000.1176% |
| Cluster 0010 | 0983 | (+0046.78 +0037.67 +0009.96) | 011.5647% |
| Cluster 0011 | 0053 | (+0006.85 +0047.15 +0014.44) | 000.6235% |
| Cluster 0012 | 0053 | (+0011.94 +0044.38 +0036.40) | 000.6235% |
| Cluster 0013 | 0004 | (+0017.69 +0050.73 +0009.43) | 000.0471% |
| Cluster 0014 | 0047 | (+0008.35 +0029.20 +0008.30) | 000.5529% |
| Cluster 0015 | 0191 | (+0033.22 +0027.73 +0001.07) | 002.2471% |
| Cluster 0016 | 0033 | (+0028.42 +0036.07 -0007.64) | 000.3882% |
| Cluster 0017 | 0010 | (+0008.51 +0031.29 +0030.16) | 000.1176% |
| Cluster 0018 | 0022 | (+0046.66 +0038.62 +0011.13) | 000.2588% |
| Cluster 0019 | 0001 | (+0036.88 +0026.17 +0017.94) | 000.0118% |
| Cluster 0020 | 0006 | (+0045.45 +0043.81 +0013.49) | 000.0706% |
| Cluster 0021 | 0016 | (+0025.17 +0031.99 +0034.42) | 000.1882% |
