Molecule 3PVE :
Nb of atoms : 6800
Nb of clusters : 17
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2047 | (-0006.04 +0031.51 -0021.85) | 030.1029% |
| Cluster 0001 | 1059 | (-0007.14 +0023.95 -0018.72) | 015.5735% |
| Cluster 0002 | 0485 | (+0000.75 +0018.98 -0033.55) | 007.1324% |
| Cluster 0003 | 1038 | (-0003.74 +0035.27 -0037.35) | 015.2647% |
| Cluster 0004 | 0082 | (+0000.64 +0033.60 -0032.84) | 001.2059% |
| Cluster 0005 | 1338 | (-0025.22 +0036.90 -0025.52) | 019.6765% |
| Cluster 0006 | 0020 | (-0018.98 +0027.61 -0014.07) | 000.2941% |
| Cluster 0007 | 0016 | (+0002.72 +0024.49 -0024.28) | 000.2353% |
| Cluster 0008 | 0381 | (-0011.68 +0037.94 -0028.88) | 005.6029% |
| Cluster 0009 | 0128 | (-0023.98 +0038.40 -0040.98) | 001.8824% |
| Cluster 0010 | 0055 | (-0030.02 +0043.94 -0031.07) | 000.8088% |
| Cluster 0011 | 0013 | (-0031.82 +0044.10 -0028.95) | 000.1912% |
| Cluster 0012 | 0068 | (-0016.11 +0013.76 -0031.87) | 001.0000% |
| Cluster 0013 | 0012 | (-0031.79 +0032.11 -0022.80) | 000.1765% |
| Cluster 0014 | 0034 | (-0027.40 +0016.50 -0037.60) | 000.5000% |
| Cluster 0015 | 0019 | (-0015.35 +0034.21 -0047.51) | 000.2794% |
| Cluster 0016 | 0005 | (-0011.63 +0039.46 -0043.60) | 000.0735% |
