Molecule 3V96 :
Nb of atoms : 6800
Nb of clusters : 17
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1607 | (+0131.71 +0009.40 +0008.35) | 023.6324% |
| Cluster 0001 | 0178 | (+0122.18 +0017.27 -0000.11) | 002.6176% |
| Cluster 0002 | 2112 | (+0143.97 +0016.06 +0003.71) | 031.0588% |
| Cluster 0003 | 0018 | (+0134.01 -0012.59 -0011.59) | 000.2647% |
| Cluster 0004 | 1319 | (+0143.15 +0002.34 -0003.50) | 019.3971% |
| Cluster 0005 | 0241 | (+0130.54 -0004.04 +0006.01) | 003.5441% |
| Cluster 0006 | 0403 | (+0138.64 +0015.99 -0005.82) | 005.9265% |
| Cluster 0007 | 0016 | (+0123.40 -0010.20 -0010.46) | 000.2353% |
| Cluster 0008 | 0520 | (+0144.28 -0006.73 +0003.20) | 007.6471% |
| Cluster 0009 | 0017 | (+0120.43 +0002.42 -0001.23) | 000.2500% |
| Cluster 0010 | 0017 | (+0125.22 +0004.77 -0019.43) | 000.2500% |
| Cluster 0011 | 0104 | (+0121.15 +0017.63 -0010.87) | 001.5294% |
| Cluster 0012 | 0219 | (+0141.35 +0005.03 +0010.59) | 003.2206% |
| Cluster 0013 | 0015 | (+0152.62 -0008.22 -0008.21) | 000.2206% |
| Cluster 0014 | 0002 | (+0152.83 +0011.25 +0000.20) | 000.0294% |
| Cluster 0015 | 0011 | (+0131.35 +0023.34 +0000.95) | 000.1618% |
| Cluster 0016 | 0001 | (+0148.41 +0002.94 +0005.04) | 000.0147% |
