Molecule 3VI3 :
Nb of atoms : 58633
Nb of clusters : 131
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1479 | (+0043.49 +0028.12 -0022.61) | 002.5225% |
| Cluster 0001 | 2035 | (+0030.64 +0039.81 -0012.64) | 003.4707% |
| Cluster 0002 | 2735 | (+0039.20 +0014.64 -0014.24) | 004.6646% |
| Cluster 0003 | 1643 | (+0038.55 +0000.00 -0029.47) | 002.8022% |
| Cluster 0004 | 1057 | (+0038.91 +0042.17 -0027.25) | 001.8027% |
| Cluster 0005 | 0302 | (+0030.08 +0028.84 -0008.23) | 000.5151% |
| Cluster 0006 | 0869 | (+0014.98 +0012.21 -0023.73) | 001.4821% |
| Cluster 0007 | 0542 | (+0008.62 +0013.68 -0006.54) | 000.9244% |
| Cluster 0008 | 0224 | (+0024.24 +0036.23 -0011.62) | 000.3820% |
| Cluster 0009 | 0089 | (+0007.46 +0014.89 -0003.53) | 000.1518% |
| Cluster 0010 | 0875 | (+0023.98 +0042.29 +0010.71) | 001.4923% |
| Cluster 0011 | 1482 | (-0008.96 +0011.04 -0013.52) | 002.5276% |
| Cluster 0012 | 2513 | (+0013.45 +0021.52 +0025.78) | 004.2860% |
| Cluster 0013 | 0977 | (-0005.55 +0001.72 +0006.11) | 001.6663% |
| Cluster 0014 | 1567 | (+0016.01 +0003.75 +0007.79) | 002.6726% |
| Cluster 0015 | 0430 | (+0005.43 +0002.68 -0024.07) | 000.7334% |
| Cluster 0016 | 0027 | (-0003.77 +0020.75 -0010.68) | 000.0460% |
| Cluster 0017 | 0503 | (+0026.90 +0037.28 -0025.92) | 000.8579% |
| Cluster 0018 | 0995 | (+0002.49 +0028.03 +0014.60) | 001.6970% |
| Cluster 0019 | 0750 | (+0021.15 +0002.73 -0016.43) | 001.2791% |
| Cluster 0020 | 8300 | (+0036.56 +0054.83 +0019.58) | 014.1559% |
| Cluster 0021 | 0782 | (+0026.45 +0053.03 +0015.44) | 001.3337% |
| Cluster 0022 | 2856 | (+0045.03 +0044.50 +0024.77) | 004.8710% |
| Cluster 0023 | 0592 | (+0038.58 +0045.85 +0032.97) | 001.0097% |
| Cluster 0024 | 0147 | (+0042.25 +0055.50 +0027.16) | 000.2507% |
| Cluster 0025 | 2280 | (-0005.48 -0013.23 +0022.89) | 003.8886% |
| Cluster 0026 | 2061 | (+0004.79 -0002.09 +0026.38) | 003.5151% |
| Cluster 0027 | 0843 | (+0004.22 -0014.95 +0002.46) | 001.4378% |
| Cluster 0028 | 0617 | (+0013.70 +0001.92 +0020.67) | 001.0523% |
| Cluster 0029 | 0425 | (+0013.43 +0021.40 +0027.26) | 000.7248% |
| Cluster 0030 | 0015 | (-0006.21 -0000.24 +0003.69) | 000.0256% |
| Cluster 0031 | 1005 | (+0015.38 -0006.19 +0004.02) | 001.7141% |
| Cluster 0032 | 0045 | (+0013.66 +0013.07 +0019.19) | 000.0767% |
| Cluster 0033 | 0283 | (+0015.47 +0026.73 +0012.13) | 000.4827% |
| Cluster 0034 | 1021 | (-0012.29 -0006.93 -0016.51) | 001.7413% |
| Cluster 0035 | 0562 | (-0019.37 +0014.90 -0008.17) | 000.9585% |
| Cluster 0036 | 0133 | (+0004.79 +0001.03 -0029.24) | 000.2268% |
| Cluster 0037 | 0322 | (-0025.17 -0002.78 -0005.14) | 000.5492% |
| Cluster 0038 | 0420 | (+0034.87 -0003.44 -0026.12) | 000.7163% |
| Cluster 0039 | 0016 | (+0035.93 -0008.25 -0035.00) | 000.0273% |
| Cluster 0040 | 0313 | (+0031.03 -0011.72 -0040.94) | 000.5338% |
| Cluster 0041 | 0051 | (+0030.56 +0002.52 -0015.27) | 000.0870% |
| Cluster 0042 | 0884 | (+0019.07 -0013.78 -0013.12) | 001.5077% |
| Cluster 0043 | 0082 | (+0009.27 -0005.73 -0006.10) | 000.1399% |
| Cluster 0044 | 0287 | (-0001.27 -0032.59 -0017.03) | 000.4895% |
| Cluster 0045 | 0150 | (+0013.56 -0025.84 -0008.00) | 000.2558% |
| Cluster 0046 | 0246 | (+0019.72 -0027.72 -0030.08) | 000.4196% |
| Cluster 0047 | 0107 | (+0022.85 -0007.83 -0022.38) | 000.1825% |
| Cluster 0048 | 0223 | (-0011.64 -0021.11 -0016.38) | 000.3803% |
| Cluster 0049 | 0050 | (-0006.36 -0032.21 -0028.68) | 000.0853% |
| Cluster 0050 | 0049 | (+0025.96 -0012.75 -0028.93) | 000.0836% |
| Cluster 0051 | 0242 | (-0006.30 -0024.98 +0014.15) | 000.4127% |
| Cluster 0052 | 0005 | (-0006.45 -0010.03 +0003.40) | 000.0085% |
| Cluster 0053 | 1004 | (+0022.72 +0041.89 +0030.28) | 001.7123% |
| Cluster 0054 | 1993 | (+0005.96 +0037.83 +0027.18) | 003.3991% |
| Cluster 0055 | 1145 | (+0040.33 +0048.51 +0007.90) | 001.9528% |
| Cluster 0056 | 0675 | (+0030.39 +0031.30 +0028.30) | 001.1512% |
| Cluster 0057 | 0061 | (+0012.93 +0034.35 +0012.04) | 000.1040% |
| Cluster 0058 | 0082 | (+0017.55 +0032.93 +0033.85) | 000.1399% |
| Cluster 0059 | 0026 | (+0023.44 +0025.55 +0022.00) | 000.0443% |
| Cluster 0060 | 0001 | (+0013.78 +0002.95 +0019.45) | 000.0017% |
| Cluster 0061 | 0015 | (+0021.32 +0016.12 +0030.69) | 000.0256% |
| Cluster 0062 | 0179 | (+0049.45 +0044.46 +0013.38) | 000.3053% |
| Cluster 0063 | 0081 | (+0038.49 +0039.91 +0033.08) | 000.1381% |
| Cluster 0064 | 0011 | (+0043.24 +0058.65 +0020.90) | 000.0188% |
| Cluster 0065 | 0065 | (+0029.00 +0052.27 +0026.58) | 000.1109% |
| Cluster 0066 | 0030 | (+0050.67 +0037.49 -0022.57) | 000.0512% |
| Cluster 0067 | 0018 | (+0042.84 +0037.90 -0013.15) | 000.0307% |
| Cluster 0068 | 1404 | (+0041.96 +0027.63 +0013.22) | 002.3946% |
| Cluster 0069 | 0117 | (+0020.02 +0013.38 -0012.92) | 000.1995% |
| Cluster 0070 | 0257 | (+0036.43 +0010.71 -0033.06) | 000.4383% |
| Cluster 0071 | 0046 | (+0025.03 +0018.93 -0031.04) | 000.0785% |
| Cluster 0072 | 0207 | (+0011.26 +0006.72 -0040.26) | 000.3530% |
| Cluster 0073 | 0034 | (+0041.60 +0013.54 -0027.87) | 000.0580% |
| Cluster 0074 | 0002 | (+0017.74 +0036.37 -0010.89) | 000.0034% |
| Cluster 0075 | 0018 | (+0009.96 +0033.69 +0011.87) | 000.0307% |
| Cluster 0076 | 0024 | (+0007.30 +0013.49 -0032.61) | 000.0409% |
| Cluster 0077 | 0005 | (+0011.35 +0016.11 -0038.27) | 000.0085% |
