Molecule 4G1M :
Nb of atoms : 89114
Nb of clusters : 209
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1588 | (-0030.12 +0028.91 +0053.65) | 001.7820% |
| Cluster 0001 | 1556 | (-0033.77 +0029.06 +0087.75) | 001.7461% |
| Cluster 0002 | 0665 | (-0029.88 +0026.16 +0069.28) | 000.7462% |
| Cluster 0003 | 0042 | (-0032.52 +0024.51 +0075.37) | 000.0471% |
| Cluster 0004 | 0765 | (-0023.10 +0040.01 +0053.87) | 000.8585% |
| Cluster 0005 | 3032 | (-0008.66 +0042.06 +0077.61) | 003.4024% |
| Cluster 0006 | 1704 | (-0012.65 +0023.26 +0076.50) | 001.9122% |
| Cluster 0007 | 1268 | (-0020.58 +0048.91 +0075.76) | 001.4229% |
| Cluster 0008 | 1074 | (+0000.69 +0028.78 +0069.11) | 001.2052% |
| Cluster 0009 | 0503 | (+0004.28 +0021.46 +0051.06) | 000.5644% |
| Cluster 0010 | 1286 | (+0006.64 +0043.78 +0042.16) | 001.4431% |
| Cluster 0011 | 2304 | (-0002.38 +0033.50 +0091.27) | 002.5855% |
| Cluster 0012 | 0407 | (-0020.10 +0047.63 +0062.10) | 000.4567% |
| Cluster 0013 | 0176 | (-0000.84 +0040.01 +0084.91) | 000.1975% |
| Cluster 0014 | 0059 | (+0001.24 +0034.71 +0073.41) | 000.0662% |
| Cluster 0015 | 1448 | (+0002.33 +0016.07 +0074.86) | 001.6249% |
| Cluster 0016 | 2151 | (+0028.88 +0023.17 +0043.75) | 002.4138% |
| Cluster 0017 | 1342 | (+0032.27 +0041.64 +0044.31) | 001.5059% |
| Cluster 0018 | 1693 | (+0026.44 +0020.33 +0030.48) | 001.8998% |
| Cluster 0019 | 0975 | (+0022.86 +0026.73 +0019.60) | 001.0941% |
| Cluster 0020 | 1114 | (+0032.42 +0052.37 +0018.08) | 001.2501% |
| Cluster 0021 | 0763 | (+0026.57 +0037.56 +0045.68) | 000.8562% |
| Cluster 0022 | 0562 | (+0023.85 +0050.89 +0039.02) | 000.6307% |
| Cluster 0023 | 1363 | (+0018.68 +0069.72 +0031.25) | 001.5295% |
| Cluster 0024 | 0077 | (+0035.31 +0032.94 +0032.17) | 000.0864% |
| Cluster 0025 | 0394 | (-0055.96 +0031.70 +0006.85) | 000.4421% |
| Cluster 0026 | 0845 | (-0039.41 +0026.52 +0005.25) | 000.9482% |
| Cluster 0027 | 0205 | (-0059.96 +0030.43 +0021.02) | 000.2300% |
| Cluster 0028 | 0703 | (-0042.11 +0027.37 +0001.03) | 000.7889% |
| Cluster 0029 | 0124 | (-0059.33 +0018.83 +0005.57) | 000.1391% |
| Cluster 0030 | 0110 | (-0047.68 +0000.98 -0003.54) | 000.1234% |
| Cluster 0031 | 0235 | (-0049.49 +0027.06 +0030.07) | 000.2637% |
| Cluster 0032 | 0388 | (-0032.53 +0004.04 +0018.80) | 000.4354% |
| Cluster 0033 | 0388 | (-0042.17 +0034.00 +0018.89) | 000.4354% |
| Cluster 0034 | 0026 | (-0063.96 +0040.47 +0027.30) | 000.0292% |
| Cluster 0035 | 0437 | (-0063.73 +0041.49 +0001.11) | 000.4904% |
| Cluster 0036 | 0492 | (-0044.47 +0015.05 -0004.35) | 000.5521% |
| Cluster 0037 | 0109 | (-0039.98 +0030.86 +0002.58) | 000.1223% |
| Cluster 0038 | 0461 | (-0029.08 +0019.81 +0023.60) | 000.5173% |
| Cluster 0039 | 0041 | (-0051.31 +0005.73 +0011.10) | 000.0460% |
| Cluster 0040 | 0048 | (-0034.17 -0003.28 +0008.35) | 000.0539% |
| Cluster 0041 | 0002 | (-0051.24 +0002.68 +0012.03) | 000.0022% |
| Cluster 0042 | 0871 | (-0037.67 +0062.38 +0022.69) | 000.9774% |
| Cluster 0043 | 0174 | (-0024.19 +0046.48 -0009.57) | 000.1953% |
| Cluster 0044 | 0764 | (+0012.97 +0036.22 +0013.67) | 000.8573% |
| Cluster 0045 | 0642 | (+0006.07 +0050.62 -0003.25) | 000.7204% |
| Cluster 0046 | 0944 | (-0006.27 +0034.77 +0006.31) | 001.0593% |
| Cluster 0047 | 1022 | (-0024.17 +0063.50 +0002.84) | 001.1468% |
| Cluster 0048 | 0125 | (+0005.03 +0035.45 +0001.62) | 000.1403% |
| Cluster 0049 | 0894 | (+0000.53 +0032.14 +0019.04) | 001.0032% |
| Cluster 0050 | 0081 | (+0007.24 +0034.08 +0004.58) | 000.0909% |
| Cluster 0051 | 0255 | (-0015.87 +0045.17 +0002.49) | 000.2862% |
| Cluster 0052 | 0223 | (-0032.23 +0051.89 +0005.54) | 000.2502% |
| Cluster 0053 | 0559 | (-0011.82 +0015.33 +0012.77) | 000.6273% |
| Cluster 0054 | 0003 | (+0002.88 +0036.96 -0000.39) | 000.0034% |
| Cluster 0055 | 1205 | (+0001.71 +0053.25 +0018.71) | 001.3522% |
| Cluster 0056 | 4648 | (+0044.99 +0057.06 +0018.46) | 005.2158% |
| Cluster 0057 | 5279 | (-0027.11 +0035.49 +0092.39) | 005.9239% |
| Cluster 0058 | 0941 | (-0010.87 +0039.70 +0094.59) | 001.0560% |
| Cluster 0059 | 2297 | (+0003.94 +0063.04 +0041.92) | 002.5776% |
| Cluster 0060 | 0148 | (+0009.78 +0052.99 +0040.71) | 000.1661% |
| Cluster 0061 | 2023 | (-0014.14 +0065.41 +0033.09) | 002.2701% |
| Cluster 0062 | 1212 | (+0001.90 +0068.74 +0012.81) | 001.3601% |
| Cluster 0063 | 0018 | (+0015.50 +0045.88 +0019.73) | 000.0202% |
| Cluster 0064 | 0130 | (-0011.78 +0067.48 +0024.95) | 000.1459% |
| Cluster 0065 | 0386 | (-0011.05 +0049.67 +0036.81) | 000.4332% |
| Cluster 0066 | 0166 | (-0021.27 +0048.60 +0024.23) | 000.1863% |
| Cluster 0067 | 0757 | (-0017.74 +0033.70 +0092.80) | 000.8495% |
| Cluster 0068 | 0936 | (-0032.16 +0042.43 +0083.75) | 001.0503% |
| Cluster 0069 | 0429 | (-0012.72 +0003.77 +0049.87) | 000.4814% |
| Cluster 0070 | 0352 | (-0016.84 +0018.07 +0040.45) | 000.3950% |
| Cluster 0071 | 0470 | (-0017.87 +0007.22 +0090.70) | 000.5274% |
| Cluster 0072 | 0011 | (-0023.83 +0005.55 +0048.51) | 000.0123% |
| Cluster 0073 | 0120 | (-0018.24 +0026.64 +0058.87) | 000.1347% |
| Cluster 0074 | 0028 | (-0012.10 +0029.21 +0049.65) | 000.0314% |
| Cluster 0075 | 0037 | (-0020.61 +0001.95 +0064.18) | 000.0415% |
| Cluster 0076 | 0502 | (-0025.87 +0026.62 +0094.04) | 000.5633% |
| Cluster 0077 | 0017 | (-0033.41 +0032.59 +0091.95) | 000.0191% |
| Cluster 0078 | 0145 | (-0024.06 +0018.04 +0094.37) | 000.1627% |
| Cluster 0079 | 0227 | (-0010.86 +0025.26 +0092.37) | 000.2547% |
| Cluster 0080 | 0157 | (-0010.24 +0040.53 +0096.29) | 000.1762% |
| Cluster 0081 | 2564 | (-0046.44 +0042.97 +0052.20) | 002.8772% |
| Cluster 0082 | 0216 | (-0044.77 +0053.41 +0053.98) | 000.2424% |
| Cluster 0083 | 0096 | (-0039.06 +0042.10 +0068.76) | 000.1077% |
| Cluster 0084 | 2453 | (+0020.91 +0064.07 +0011.47) | 002.7527% |
| Cluster 0085 | 0050 | (-0009.96 +0006.69 +0081.74) | 000.0561% |
| Cluster 0086 | 0153 | (-0007.47 +0007.64 +0075.75) | 000.1717% |
| Cluster 0087 | 0272 | (-0003.95 +0006.81 +0067.18) | 000.3052% |
| Cluster 0088 | 0041 | (-0020.91 +0014.44 +0070.71) | 000.0460% |
| Cluster 0089 | 0011 | (-0029.56 +0016.42 +0087.78) | 000.0123% |
| Cluster 0090 | 0566 | (+0023.04 +0018.19 +0051.89) | 000.6351% |
| Cluster 0091 | 0146 | (+0004.18 +0001.61 +0045.87) | 000.1638% |
| Cluster 0092 | 0818 | (-0002.34 +0016.28 +0035.67) | 000.9179% |
| Cluster 0093 | 1100 | (-0036.19 +0052.39 +0003.32) | 001.2344% |
| Cluster 0094 | 0017 | (-0048.07 +0017.90 +0020.94) | 000.0191% |
| Cluster 0095 | 0309 | (-0057.11 +0050.74 +0001.07) | 000.3467% |
| Cluster 0096 | 0498 | (-0055.26 +0043.48 +0038.33) | 000.5588% |
| Cluster 0097 | 0129 | (-0065.06 +0043.92 -0008.00) | 000.1448% |
| Cluster 0098 | 0871 | (-0044.12 +0051.93 +0030.27) | 000.9774% |
| Cluster 0099 | 0234 | (-0063.68 +0052.79 +0014.20) | 000.2626% |
| Cluster 0100 | 0066 | (-0048.62 +0053.70 +0000.61) | 000.0741% |
| Cluster 0101 | 0345 | (+0010.79 +0067.88 +0005.30) | 000.3871% |
| Cluster 0102 | 0278 | (-0009.39 +0063.40 +0010.18) | 000.3120% |
| Cluster 0103 | 0019 | (+0017.43 +0076.42 +0014.49) | 000.0213% |
| Cluster 0104 | 1107 | (-0001.66 +0064.36 -0001.97) | 001.2422% |
| Cluster 0105 | 0047 | (-0047.00 +0036.84 +0041.43) | 000.0527% |
| Cluster 0106 | 0005 | (-0058.84 +0054.62 +0024.29) | 000.0056% |
| Cluster 0107 | 0638 | (-0019.37 +0066.70 -0004.31) | 000.7159% |
| Cluster 0108 | 0004 | (-0001.44 +0038.89 +0075.79) | 000.0045% |
| Cluster 0109 | 0028 | (-0003.61 +0021.77 +0085.93) | 000.0314% |
| Cluster 0110 | 0546 | (-0034.72 +0062.34 -0009.95) | 000.6127% |
| Cluster 0111 | 2142 | (+0026.28 +0052.67 +0006.46) | 002.4037% |
| Cluster 0112 | 0046 | (-0014.08 +0063.55 +0009.43) | 000.0516% |
| Cluster 0113 | 1519 | (-0038.58 +0064.68 -0003.01) | 001.7046% |
| Cluster 0114 | 0010 | (-0032.33 +0065.87 +0003.16) | 000.0112% |
| Cluster 0115 | 0105 | (-0001.25 +0020.62 +0033.09) | 000.1178% |
| Cluster 0116 | 2034 | (+0026.38 +0068.31 +0028.83) | 002.2825% |
| Cluster 0117 | 0017 | (+0015.20 +0064.33 +0036.02) | 000.0191% |
| Cluster 0118 | 0853 | (+0032.70 +0065.28 +0025.11) | 000.9572% |
| Cluster 0119 | 0282 | (+0002.74 +0074.15 +0026.97) | 000.3164% |
| Cluster 0120 | 0034 | (+0032.35 +0058.48 +0012.86) | 000.0382% |
| Cluster 0121 | 0481 | (+0009.31 +0017.53 +0019.94) | 000.5398% |
| Cluster 0122 | 0040 | (+0025.67 +0054.12 +0007.82) | 000.0449% |
| Cluster 0123 | 0009 | (+0019.23 +0045.38 +0005.63) | 000.0101% |
| Cluster 0124 | 0019 | (+0009.01 +0028.09 +0013.09) | 000.0213% |
| Cluster 0125 | 0018 | (+0030.16 +0053.23 +0009.23) | 000.0202% |
| Cluster 0126 | 0104 | (-0060.67 +0049.50 -0011.67) | 000.1167% |
| Cluster 0127 | 0132 | (-0058.09 +0027.57 -0013.16) | 000.1481% |
| Cluster 0128 | 0282 | (-0044.30 +0030.07 -0011.98) | 000.3164% |
| Cluster 0129 | 0032 | (-0060.63 +0039.67 -0018.55) | 000.0359% |
| Cluster 0130 | 0084 | (-0043.13 +0048.32 -0018.27) | 000.0943% |
| Cluster 0131 | 1832 | (-0019.70 +0020.64 +0032.61) | 002.0558% |
| Cluster 0132 | 0081 | (-0033.45 +0025.99 +0032.54) | 000.0909% |
| Cluster 0133 | 0088 | (-0024.05 +0012.35 +0007.57) | 000.0987% |
| Cluster 0134 | 0002 | (-0030.39 +0009.91 +0025.92) | 000.0022% |
| Cluster 0135 | 0019 | (-0011.08 +0031.59 +0017.05) | 000.0213% |
| Cluster 0136 | 0057 | (-0010.97 +0020.47 +0026.17) | 000.0640% |
| Cluster 0137 | 0336 | (-0022.42 +0009.25 +0005.72) | 000.3770% |
| Cluster 0138 | 0142 | (+0033.65 +0036.98 +0046.93) | 000.1593% |
| Cluster 0139 | 0112 | (+0036.48 +0056.97 +0033.25) | 000.1257% |
| Cluster 0140 | 0030 | (+0030.48 +0045.05 +0026.00) | 000.0337% |
| Cluster 0141 | 0094 | (-0041.02 +0035.83 +0059.23) | 000.1055% |
| Cluster 0142 | 0265 | (+0020.27 +0003.77 +0039.38) | 000.2974% |
| Cluster 0143 | 0024 | (+0021.29 +0011.55 +0025.79) | 000.0269% |
| Cluster 0144 | 0003 | (-0011.35 +0021.01 +0088.51) | 000.0034% |
| Cluster 0145 | 0001 | (+0029.29 +0070.26 +0017.76) | 000.0011% |
| Cluster 0146 | 0206 | (+0006.77 -0000.93 +0030.83) | 000.2312% |
| Cluster 0147 | 0099 | (+0002.53 +0010.73 +0025.76) | 000.1111% |
| Cluster 0148 | 0327 | (+0023.75 +0021.25 +0015.33) | 000.3669% |
| Cluster 0149 | 0006 | (+0002.21 +0004.98 +0078.79) | 000.0067% |
| Cluster 0150 | 0002 | (+0018.18 +0078.00 +0026.88) | 000.0022% |
| Cluster 0151 | 0115 | (+0014.62 +0055.53 +0044.45) | 000.1290% |
| Cluster 0152 | 0052 | (-0004.61 +0066.59 +0041.44) | 000.0584% |
| Cluster 0153 | 0210 | (-0004.42 +0010.48 +0056.56) | 000.2357% |
| Cluster 0154 | 0002 | (+0030.14 +0010.71 +0034.54) | 000.0022% |
| Cluster 0155 | 0002 | (-0017.03 +0038.36 +0022.34) | 000.0022% |
| Cluster 0156 | 0094 | (-0033.38 +0039.19 +0025.07) | 000.1055% |
| Cluster 0157 | 0106 | (-0032.88 +0042.49 +0039.79) | 000.1189% |
| Cluster 0158 | 0002 | (-0032.84 +0030.38 +0014.35) | 000.0022% |
| Cluster 0159 | 0033 | (-0023.04 +0062.97 +0028.32) | 000.0370% |
| Cluster 0160 | 0008 | (-0035.45 +0046.71 +0016.54) | 000.0090% |
| Cluster 0161 | 0014 | (-0036.81 +0056.93 -0015.81) | 000.0157% |
| Cluster 0162 | 0017 | (-0069.26 +0053.69 +0003.38) | 000.0191% |
| Cluster 0163 | 0008 | (+0033.76 +0048.64 +0046.04) | 000.0090% |
| Cluster 0164 | 0023 | (-0003.76 +0002.22 +0023.94) | 000.0258% |
| Cluster 0165 | 0017 | (-0018.09 +0000.12 +0029.04) | 000.0191% |
| Cluster 0166 | 0032 | (-0018.09 +0002.03 +0013.81) | 000.0359% |
| Cluster 0167 | 0018 | (+0044.92 +0066.59 +0016.16) | 000.0202% |
| Cluster 0168 | 0031 | (-0005.53 +0024.64 +0059.01) | 000.0348% |
| Cluster 0169 | 0051 | (-0046.02 +0055.35 +0041.06) | 000.0572% |
| Cluster 0170 | 0004 | (-0064.92 +0039.37 +0027.04) | 000.0045% |
| Cluster 0171 | 0009 | (-0024.33 +0019.43 +0009.98) | 000.0101% |
| Cluster 0172 | 0106 | (-0034.30 +0003.92 -0006.74) | 000.1189% |
| Cluster 0173 | 0044 | (-0039.56 +0011.53 -0017.62) | 000.0494% |
| Cluster 0174 | 0011 | (-0048.34 +0006.63 -0010.75) | 000.0123% |
| Cluster 0175 | 0050 | (+0004.82 +0036.50 +0050.48) | 000.0561% |
| Cluster 0176 | 0002 | (+0000.97 +0025.47 +0061.74) | 000.0022% |
| Cluster 0177 | 0003 | (+0004.11 +0020.04 +0063.75) | 000.0034% |
| Cluster 0178 | 0002 | (-0028.01 +0045.74 +0003.40) | 000.0022% |
| Cluster 0179 | 0017 | (-0019.24 +0058.69 -0011.62) | 000.0191% |
| Cluster 0180 | 0009 | (-0042.16 +0042.98 +0003.51) | 000.0101% |
| Cluster 0181 | 0003 | (-0000.88 +0049.67 +0043.30) | 000.0034% |
| Cluster 0182 | 0005 | (-0008.74 +0005.02 +0058.45) | 000.0056% |
| Cluster 0183 | 0012 | (-0002.58 +0024.90 +0043.27) | 000.0135% |
| Cluster 0184 | 0034 | (-0022.34 +0032.12 +0041.26) | 000.0382% |
| Cluster 0185 | 0017 | (-0008.63 -0005.02 +0036.94) | 000.0191% |
| Cluster 0186 | 0005 | (-0068.86 +0042.05 +0022.78) | 000.0056% |
| Cluster 0187 | 0070 | (-0031.39 +0052.74 +0055.81) | 000.0786% |
| Cluster 0188 | 0012 | (-0032.35 +0052.35 +0062.39) | 000.0135% |
| Cluster 0189 | 0001 | (-0033.06 +0053.49 +0063.61) | 000.0011% |
| Cluster 0190 | 0006 | (-0003.64 +0060.46 +0021.06) | 000.0067% |
| Cluster 0191 | 0010 | (+0024.91 +0061.35 +0038.90) | 000.0112% |
| Cluster 0192 | 0015 | (-0023.81 +0063.92 +0030.13) | 000.0168% |
| Cluster 0193 | 0012 | (-0006.74 +0071.79 +0036.12) | 000.0135% |
| Cluster 0194 | 0001 | (+0009.17 +0030.61 +0014.70) | 000.0011% |
| Cluster 0195 | 0007 | (-0065.48 +0032.37 -0006.71) | 000.0079% |
| Cluster 0196 | 0007 | (-0049.16 +0009.29 -0014.51) | 000.0079% |
| Cluster 0197 | 0012 | (-0054.18 +0022.31 +0016.51) | 000.0135% |
| Cluster 0198 | 0001 | (-0040.14 +0018.46 -0013.59) | 000.0011% |
| Cluster 0199 | 0012 | (-0055.95 +0019.68 +0027.58) | 000.0135% |
| Cluster 0200 | 0024 | (-0036.24 +0017.90 +0014.20) | 000.0269% |
| Cluster 0201 | 0007 | (+0028.44 +0012.17 +0046.49) | 000.0079% |
| Cluster 0202 | 0001 | (-0034.73 +0018.17 +0013.13) | 000.0011% |
| Cluster 0203 | 0014 | (-0023.33 +0053.02 +0012.97) | 000.0157% |
| Cluster 0204 | 0002 | (-0012.00 +0017.08 +0057.41) | 000.0022% |
| Cluster 0205 | 0001 | (-0012.39 +0057.66 +0041.29) | 000.0011% |
| Cluster 0206 | 0001 | (+0000.54 +0027.90 +0006.85) | 000.0011% |
| Cluster 0207 | 0003 | (-0007.35 +0041.46 +0030.53) | 000.0034% |
| Cluster 0208 | 0008 | (-0037.06 +0026.43 +0079.33) | 000.0090% |
