Molecule 5VYC :
Nb of atoms : 13022
Nb of clusters : 36
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2862 | (-0049.56 +0042.32 -0047.80) | 021.9782% |
| Cluster 0001 | 0533 | (-0046.76 +0027.99 -0047.81) | 004.0931% |
| Cluster 0002 | 1331 | (-0061.99 +0051.86 -0063.04) | 010.2212% |
| Cluster 0003 | 1559 | (-0046.89 +0057.16 -0073.23) | 011.9720% |
| Cluster 0004 | 1300 | (-0045.84 +0045.92 -0060.95) | 009.9831% |
| Cluster 0005 | 0116 | (-0064.54 +0039.17 -0059.54) | 000.8908% |
| Cluster 0006 | 1116 | (-0057.87 +0067.88 -0070.99) | 008.5701% |
| Cluster 0007 | 0343 | (-0046.00 +0051.35 -0080.69) | 002.6340% |
| Cluster 0008 | 0672 | (-0038.47 +0037.98 -0076.58) | 005.1605% |
| Cluster 0009 | 0217 | (-0026.57 +0039.10 -0070.85) | 001.6664% |
| Cluster 0010 | 0150 | (-0043.71 +0037.09 -0081.55) | 001.1519% |
| Cluster 0011 | 0101 | (-0038.62 +0045.99 -0071.93) | 000.7756% |
| Cluster 0012 | 0086 | (-0042.98 +0031.81 -0061.04) | 000.6604% |
| Cluster 0013 | 0882 | (-0025.39 +0031.77 -0086.10) | 006.7732% |
| Cluster 0014 | 0004 | (-0034.62 +0028.18 -0078.07) | 000.0307% |
| Cluster 0015 | 0044 | (-0057.09 +0029.08 -0055.11) | 000.3379% |
| Cluster 0016 | 0001 | (-0033.96 +0034.17 -0091.28) | 000.0077% |
| Cluster 0017 | 0902 | (-0055.94 +0066.16 -0084.24) | 006.9267% |
| Cluster 0018 | 0014 | (-0060.82 +0056.79 -0084.16) | 000.1075% |
| Cluster 0019 | 0224 | (-0053.21 +0071.63 -0079.72) | 001.7202% |
| Cluster 0020 | 0025 | (-0052.58 +0053.40 -0058.31) | 000.1920% |
| Cluster 0021 | 0001 | (-0059.81 +0070.11 -0083.74) | 000.0077% |
| Cluster 0022 | 0032 | (-0066.72 +0057.93 -0074.36) | 000.2457% |
| Cluster 0023 | 0017 | (-0039.41 +0039.60 -0048.63) | 000.1305% |
| Cluster 0024 | 0024 | (-0025.16 +0041.94 -0070.52) | 000.1843% |
| Cluster 0025 | 0008 | (-0025.98 +0021.28 -0089.48) | 000.0614% |
| Cluster 0026 | 0005 | (-0045.00 +0054.69 -0067.49) | 000.0384% |
| Cluster 0027 | 0008 | (-0039.68 +0035.17 -0069.07) | 000.0614% |
| Cluster 0028 | 0249 | (-0060.56 +0044.87 -0047.50) | 001.9121% |
| Cluster 0029 | 0011 | (-0057.41 +0026.54 -0059.41) | 000.0845% |
| Cluster 0030 | 0002 | (-0040.90 +0046.95 -0048.86) | 000.0154% |
| Cluster 0031 | 0004 | (-0052.33 +0039.33 -0085.84) | 000.0307% |
| Cluster 0032 | 0136 | (-0060.20 +0025.63 -0075.61) | 001.0444% |
| Cluster 0033 | 0034 | (-0070.67 +0043.96 -0082.86) | 000.2611% |
| Cluster 0034 | 0001 | (-0046.99 +0067.10 -0071.06) | 000.0077% |
| Cluster 0035 | 0008 | (-0060.50 +0045.07 -0047.59) | 000.0614% |
