Molecule 1ATZ :
Nb of atoms : 6800
Nb of clusters : 22
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1538 | (+0046.16 +0045.15 +0033.06) | 022.6176% |
| Cluster 0001 | 1434 | (+0046.81 +0039.37 +0050.84) | 021.0882% |
| Cluster 0002 | 0632 | (+0033.63 +0049.54 +0038.53) | 009.2941% |
| Cluster 0003 | 0342 | (+0041.92 +0024.16 +0048.27) | 005.0294% |
| Cluster 0004 | 0051 | (+0031.41 +0025.76 +0025.30) | 000.7500% |
| Cluster 0005 | 0559 | (+0025.25 +0045.78 +0057.25) | 008.2206% |
| Cluster 0006 | 0209 | (+0047.53 +0031.97 +0032.78) | 003.0735% |
| Cluster 0007 | 0017 | (+0026.89 +0038.24 +0029.69) | 000.2500% |
| Cluster 0008 | 0001 | (+0042.04 +0030.67 +0027.76) | 000.0147% |
| Cluster 0009 | 0132 | (+0027.41 +0030.97 +0060.57) | 001.9412% |
| Cluster 0010 | 0162 | (+0022.54 +0048.96 +0046.28) | 002.3824% |
| Cluster 0011 | 1217 | (+0041.91 +0050.21 +0051.39) | 017.8971% |
| Cluster 0012 | 0230 | (+0041.39 +0046.43 +0057.15) | 003.3824% |
| Cluster 0013 | 0017 | (+0024.16 +0024.60 +0040.81) | 000.2500% |
| Cluster 0014 | 0046 | (+0030.29 +0055.19 +0049.36) | 000.6765% |
| Cluster 0015 | 0046 | (+0044.35 +0054.38 +0039.53) | 000.6765% |
| Cluster 0016 | 0006 | (+0048.04 +0030.72 +0041.06) | 000.0882% |
| Cluster 0017 | 0001 | (+0051.73 +0045.40 +0040.47) | 000.0147% |
| Cluster 0018 | 0121 | (+0034.61 +0030.53 +0061.26) | 001.7794% |
| Cluster 0019 | 0024 | (+0040.87 +0040.03 +0062.66) | 000.3529% |
| Cluster 0020 | 0013 | (+0034.60 +0049.48 +0059.05) | 000.1912% |
| Cluster 0021 | 0002 | (+0038.03 +0048.22 +0028.38) | 000.0294% |
