Molecule 1AU8 :
Nb of atoms : 10897
Nb of clusters : 29
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2713 | (+0021.38 +0036.01 +0022.49) | 024.8968% |
| Cluster 0001 | 0405 | (+0030.73 +0020.72 +0009.04) | 003.7166% |
| Cluster 0002 | 0573 | (+0034.79 +0037.74 +0010.21) | 005.2583% |
| Cluster 0003 | 0936 | (+0019.53 +0025.27 +0030.05) | 008.5895% |
| Cluster 0004 | 0013 | (+0036.29 +0031.83 +0020.55) | 000.1193% |
| Cluster 0005 | 0106 | (+0022.03 +0009.96 +0016.83) | 000.9727% |
| Cluster 0006 | 2448 | (+0023.15 +0052.85 +0002.18) | 022.4649% |
| Cluster 0007 | 0600 | (+0012.72 +0038.07 +0001.36) | 005.5061% |
| Cluster 0008 | 0305 | (+0022.14 +0052.95 -0007.19) | 002.7989% |
| Cluster 0009 | 0204 | (+0014.86 +0028.05 +0026.18) | 001.8721% |
| Cluster 0010 | 0853 | (+0021.39 +0052.14 +0015.30) | 007.8278% |
| Cluster 0011 | 0047 | (+0009.28 +0036.00 -0010.68) | 000.4313% |
| Cluster 0012 | 0060 | (+0022.91 +0053.63 -0009.26) | 000.5506% |
| Cluster 0013 | 0089 | (+0025.73 +0050.42 +0012.58) | 000.8167% |
| Cluster 0014 | 0392 | (+0026.50 +0022.91 -0005.33) | 003.5973% |
| Cluster 0015 | 0539 | (+0032.74 +0038.23 -0004.81) | 004.9463% |
| Cluster 0016 | 0086 | (+0004.20 +0028.63 +0007.02) | 000.7892% |
| Cluster 0017 | 0132 | (+0013.04 +0040.86 +0015.70) | 001.2113% |
| Cluster 0018 | 0001 | (+0006.57 +0041.22 -0006.99) | 000.0092% |
| Cluster 0019 | 0067 | (+0007.06 +0011.92 +0012.16) | 000.6148% |
| Cluster 0020 | 0041 | (+0005.04 +0026.60 +0018.17) | 000.3763% |
| Cluster 0021 | 0053 | (+0025.15 +0038.98 -0014.15) | 000.4864% |
| Cluster 0022 | 0002 | (+0004.34 +0027.27 +0019.27) | 000.0184% |
| Cluster 0023 | 0012 | (+0020.00 +0026.08 +0032.57) | 000.1101% |
| Cluster 0024 | 0207 | (+0038.22 +0028.49 +0000.48) | 001.8996% |
| Cluster 0025 | 0002 | (+0022.01 +0016.13 +0000.83) | 000.0184% |
| Cluster 0026 | 0003 | (+0032.11 +0047.51 +0005.29) | 000.0275% |
| Cluster 0027 | 0004 | (+0025.04 +0019.99 +0022.87) | 000.0367% |
| Cluster 0028 | 0004 | (+0010.99 +0018.90 +0022.52) | 000.0367% |
