Molecule 1BQQ :
Nb of atoms : 6800
Nb of clusters : 14
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 5671 | (+0016.05 +0006.10 +0023.99) | 083.3971% |
| Cluster 0001 | 0018 | (+0017.59 +0006.17 +0011.63) | 000.2647% |
| Cluster 0002 | 0107 | (+0026.14 -0009.08 +0020.13) | 001.5735% |
| Cluster 0003 | 0043 | (+0014.79 -0004.98 +0004.79) | 000.6324% |
| Cluster 0004 | 0375 | (+0022.92 -0001.41 +0031.84) | 005.5147% |
| Cluster 0005 | 0423 | (+0004.94 +0007.05 +0028.93) | 006.2206% |
| Cluster 0006 | 0034 | (+0006.08 +0015.54 +0013.49) | 000.5000% |
| Cluster 0007 | 0003 | (+0013.50 +0017.28 +0027.37) | 000.0441% |
| Cluster 0008 | 0016 | (-0002.55 +0001.00 +0026.09) | 000.2353% |
| Cluster 0009 | 0073 | (+0012.65 -0010.06 +0034.63) | 001.0735% |
| Cluster 0010 | 0011 | (+0016.53 -0004.32 +0039.72) | 000.1618% |
| Cluster 0011 | 0017 | (-0000.37 -0008.22 +0024.85) | 000.2500% |
| Cluster 0012 | 0006 | (+0010.91 -0002.01 +0001.00) | 000.0882% |
| Cluster 0013 | 0003 | (+0031.84 -0000.36 +0024.54) | 000.0441% |
