Molecule 1ITV :
Nb of atoms : 9333
Nb of clusters : 24
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1610 | (-0041.67 -0008.09 -0004.44) | 017.2506% |
| Cluster 0001 | 0618 | (-0033.10 -0007.49 -0011.93) | 006.6217% |
| Cluster 0002 | 0001 | (-0032.80 -0007.50 -0015.67) | 000.0107% |
| Cluster 0003 | 0813 | (-0041.86 -0013.92 +0004.01) | 008.7110% |
| Cluster 0004 | 0056 | (-0049.25 -0016.10 -0018.35) | 000.6000% |
| Cluster 0005 | 1445 | (-0040.14 -0028.93 +0001.21) | 015.4827% |
| Cluster 0006 | 0388 | (-0053.18 -0029.26 +0003.82) | 004.1573% |
| Cluster 0007 | 2017 | (-0027.89 -0029.94 +0003.27) | 021.6115% |
| Cluster 0008 | 0017 | (-0052.30 -0014.02 -0005.19) | 000.1821% |
| Cluster 0009 | 0001 | (-0047.75 -0021.70 +0011.07) | 000.0107% |
| Cluster 0010 | 1036 | (-0023.14 -0022.68 -0007.45) | 011.1004% |
| Cluster 0011 | 0106 | (-0019.59 -0027.85 -0005.66) | 001.1358% |
| Cluster 0012 | 0705 | (-0035.61 -0042.24 +0001.65) | 007.5538% |
| Cluster 0013 | 0085 | (-0025.48 -0026.62 -0014.15) | 000.9107% |
| Cluster 0014 | 0108 | (-0036.49 -0026.63 -0019.80) | 001.1572% |
| Cluster 0015 | 0029 | (-0024.78 -0029.71 -0016.91) | 000.3107% |
| Cluster 0016 | 0002 | (-0033.21 -0023.85 -0003.47) | 000.0214% |
| Cluster 0017 | 0102 | (-0048.31 -0050.47 -0000.16) | 001.0929% |
| Cluster 0018 | 0014 | (-0039.92 -0024.02 -0019.15) | 000.1500% |
| Cluster 0019 | 0015 | (-0045.13 -0033.07 -0017.07) | 000.1607% |
| Cluster 0020 | 0058 | (-0047.47 -0040.02 +0006.78) | 000.6215% |
| Cluster 0021 | 0068 | (-0039.39 -0050.90 -0012.36) | 000.7286% |
| Cluster 0022 | 0036 | (-0045.12 -0005.13 +0006.48) | 000.3857% |
| Cluster 0023 | 0003 | (-0034.49 -0051.77 +0000.79) | 000.0321% |
