Molecule 1L6J :
Nb of atoms : 21743
Nb of clusters : 47
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1942 | (+0046.76 +0038.32 +0054.78) | 008.9316% |
| Cluster 0001 | 1116 | (+0044.17 +0055.67 +0063.87) | 005.1327% |
| Cluster 0002 | 1692 | (+0030.92 +0045.07 +0062.37) | 007.7818% |
| Cluster 0003 | 0142 | (+0052.30 +0050.42 +0057.53) | 000.6531% |
| Cluster 0004 | 4605 | (+0042.75 +0052.76 +0039.06) | 021.1792% |
| Cluster 0005 | 0138 | (+0048.05 +0051.09 +0040.83) | 000.6347% |
| Cluster 0006 | 0120 | (+0027.70 +0052.45 +0032.78) | 000.5519% |
| Cluster 0007 | 0155 | (+0026.99 +0044.93 +0017.26) | 000.7129% |
| Cluster 0008 | 0013 | (+0018.60 +0053.18 +0022.93) | 000.0598% |
| Cluster 0009 | 0016 | (+0029.44 +0061.00 +0023.78) | 000.0736% |
| Cluster 0010 | 0814 | (+0023.16 +0071.80 +0031.66) | 003.7437% |
| Cluster 0011 | 3041 | (+0064.65 +0032.19 +0024.21) | 013.9861% |
| Cluster 0012 | 0363 | (+0058.04 +0023.86 +0032.13) | 001.6695% |
| Cluster 0013 | 0564 | (+0045.63 +0014.20 +0036.56) | 002.5939% |
| Cluster 0014 | 1468 | (+0047.10 +0037.18 +0031.56) | 006.7516% |
| Cluster 0015 | 0600 | (+0039.65 +0027.57 +0032.93) | 002.7595% |
| Cluster 0016 | 0098 | (+0046.85 +0013.66 +0022.10) | 000.4507% |
| Cluster 0017 | 0002 | (+0044.53 +0004.27 +0037.70) | 000.0092% |
| Cluster 0018 | 0108 | (+0034.89 +0028.38 +0050.53) | 000.4967% |
| Cluster 0019 | 0140 | (+0025.72 +0034.30 +0040.82) | 000.6439% |
| Cluster 0020 | 0242 | (+0028.61 +0040.07 +0058.45) | 001.1130% |
| Cluster 0021 | 0038 | (+0023.62 +0037.09 +0048.56) | 000.1748% |
| Cluster 0022 | 0125 | (+0028.46 +0009.94 +0034.80) | 000.5749% |
| Cluster 0023 | 0010 | (+0024.90 +0036.60 +0051.35) | 000.0460% |
| Cluster 0024 | 0525 | (+0031.37 +0054.94 +0051.68) | 002.4146% |
| Cluster 0025 | 0256 | (+0029.23 +0054.04 +0050.93) | 001.1774% |
| Cluster 0026 | 0077 | (+0022.85 +0053.48 +0059.50) | 000.3541% |
| Cluster 0027 | 0020 | (+0021.65 +0050.23 +0043.44) | 000.0920% |
| Cluster 0028 | 0021 | (+0050.11 +0044.44 +0039.56) | 000.0966% |
| Cluster 0029 | 0006 | (+0022.58 +0047.80 +0059.95) | 000.0276% |
| Cluster 0030 | 0183 | (+0039.60 +0024.12 +0018.97) | 000.8417% |
| Cluster 0031 | 0149 | (+0043.75 +0035.81 +0009.04) | 000.6853% |
| Cluster 0032 | 0063 | (+0028.66 +0014.04 +0023.17) | 000.2897% |
| Cluster 0033 | 0017 | (+0028.57 +0011.03 +0020.89) | 000.0782% |
| Cluster 0034 | 0011 | (+0040.42 +0029.44 +0059.50) | 000.0506% |
| Cluster 0035 | 0163 | (+0055.48 +0025.38 +0017.11) | 000.7497% |
| Cluster 0036 | 0004 | (+0042.39 +0038.05 +0008.20) | 000.0184% |
| Cluster 0037 | 0004 | (+0049.41 +0021.08 +0009.22) | 000.0184% |
| Cluster 0038 | 2471 | (+0039.71 +0070.83 +0036.44) | 011.3646% |
| Cluster 0039 | 0089 | (+0027.31 +0072.98 +0042.80) | 000.4093% |
| Cluster 0040 | 0009 | (+0032.59 +0077.25 +0032.79) | 000.0414% |
| Cluster 0041 | 0042 | (+0032.17 +0051.23 +0065.64) | 000.1932% |
| Cluster 0042 | 0012 | (+0040.81 +0059.53 +0050.82) | 000.0552% |
| Cluster 0043 | 0015 | (+0052.37 +0057.59 +0046.96) | 000.0690% |
| Cluster 0044 | 0047 | (+0066.18 +0029.43 +0031.16) | 000.2162% |
| Cluster 0045 | 0002 | (+0028.61 +0044.85 +0007.93) | 000.0092% |
| Cluster 0046 | 0005 | (+0066.04 +0034.98 +0015.30) | 000.0230% |
