Molecule 1XCD :
Nb of atoms : 17000
Nb of clusters : 35
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 4693 | (+0018.20 +0026.74 +0070.54) | 027.6059% |
| Cluster 0001 | 0675 | (+0003.43 +0029.64 +0059.82) | 003.9706% |
| Cluster 0002 | 2123 | (+0012.80 +0025.46 +0081.00) | 012.4882% |
| Cluster 0003 | 0710 | (+0005.61 +0024.29 +0078.69) | 004.1765% |
| Cluster 0004 | 0030 | (+0003.24 +0034.31 +0070.44) | 000.1765% |
| Cluster 0005 | 0665 | (+0017.83 +0010.44 +0073.30) | 003.9118% |
| Cluster 0006 | 0636 | (+0001.62 +0011.35 +0018.46) | 003.7412% |
| Cluster 0007 | 0028 | (-0001.87 +0008.08 +0011.84) | 000.1647% |
| Cluster 0008 | 0645 | (-0002.57 +0022.72 +0025.71) | 003.7941% |
| Cluster 0009 | 0990 | (+0000.12 +0022.85 +0046.73) | 005.8235% |
| Cluster 0010 | 0232 | (-0005.81 +0025.70 +0037.62) | 001.3647% |
| Cluster 0011 | 0061 | (-0011.96 +0020.95 +0019.31) | 000.3588% |
| Cluster 0012 | 0032 | (+0010.28 +0013.60 +0059.79) | 000.1882% |
| Cluster 0013 | 0040 | (-0000.29 +0012.33 +0034.38) | 000.2353% |
| Cluster 0014 | 0621 | (-0004.18 +0020.51 +0073.53) | 003.6529% |
| Cluster 0015 | 0229 | (+0016.89 +0013.00 +0071.55) | 001.3471% |
| Cluster 0016 | 0020 | (+0012.13 +0014.71 +0059.33) | 000.1176% |
| Cluster 0017 | 1498 | (+0003.10 +0003.73 +0079.95) | 008.8118% |
| Cluster 0018 | 0853 | (+0024.05 +0026.87 +0075.15) | 005.0176% |
| Cluster 0019 | 0015 | (+0022.21 +0004.92 +0069.13) | 000.0882% |
| Cluster 0020 | 0158 | (-0014.89 +0029.25 +0050.27) | 000.9294% |
| Cluster 0021 | 1020 | (-0020.07 +0019.47 +0034.88) | 006.0000% |
| Cluster 0022 | 0018 | (-0006.80 +0028.92 +0066.82) | 000.1059% |
| Cluster 0023 | 0281 | (-0018.69 +0014.08 +0060.01) | 001.6529% |
| Cluster 0024 | 0029 | (-0008.07 +0026.74 +0032.59) | 000.1706% |
| Cluster 0025 | 0085 | (-0015.00 +0007.33 +0018.89) | 000.5000% |
| Cluster 0026 | 0034 | (-0024.68 +0008.05 +0040.36) | 000.2000% |
| Cluster 0027 | 0001 | (-0015.29 +0004.66 +0019.39) | 000.0059% |
| Cluster 0028 | 0005 | (-0015.40 +0020.37 +0018.94) | 000.0294% |
| Cluster 0029 | 0225 | (+0007.55 +0011.82 +0085.06) | 001.3235% |
| Cluster 0030 | 0275 | (-0009.30 +0005.79 +0070.24) | 001.6176% |
| Cluster 0031 | 0007 | (-0018.61 +0011.32 +0063.78) | 000.0412% |
| Cluster 0032 | 0012 | (+0004.43 +0000.04 +0072.46) | 000.0706% |
| Cluster 0033 | 0003 | (-0005.74 +0004.07 +0071.93) | 000.0176% |
| Cluster 0034 | 0051 | (-0017.34 +0002.09 +0054.80) | 000.3000% |
