Molecule 3BCH :
Nb of atoms : 7650
Nb of clusters : 27
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1718 | (+0030.81 +0052.62 +0055.45) | 022.4575% |
| Cluster 0001 | 1104 | (+0033.58 +0062.80 +0050.53) | 014.4314% |
| Cluster 0002 | 0475 | (+0017.23 +0056.05 +0061.73) | 006.2092% |
| Cluster 0003 | 0126 | (+0025.40 +0063.15 +0057.79) | 001.6471% |
| Cluster 0004 | 0205 | (+0029.38 +0040.29 +0047.90) | 002.6797% |
| Cluster 0005 | 0249 | (+0020.91 +0036.10 +0046.36) | 003.2549% |
| Cluster 0006 | 0051 | (+0021.84 +0068.16 +0047.78) | 000.6667% |
| Cluster 0007 | 1181 | (+0011.88 +0074.28 +0030.47) | 015.4379% |
| Cluster 0008 | 0040 | (+0001.26 +0073.83 +0027.27) | 000.5229% |
| Cluster 0009 | 0169 | (+0036.56 +0057.66 +0042.48) | 002.2092% |
| Cluster 0010 | 0213 | (+0019.76 +0045.41 +0034.12) | 002.7843% |
| Cluster 0011 | 0795 | (+0026.63 +0066.76 +0037.18) | 010.3922% |
| Cluster 0012 | 0338 | (+0001.09 +0062.09 +0046.05) | 004.4183% |
| Cluster 0013 | 0215 | (+0013.72 +0063.63 +0028.55) | 002.8105% |
| Cluster 0014 | 0186 | (+0007.43 +0064.15 +0053.10) | 002.4314% |
| Cluster 0015 | 0044 | (+0007.87 +0049.78 +0031.17) | 000.5752% |
| Cluster 0016 | 0006 | (+0000.28 +0070.62 +0036.53) | 000.0784% |
| Cluster 0017 | 0171 | (+0004.49 +0049.75 +0052.85) | 002.2353% |
| Cluster 0018 | 0025 | (+0015.94 +0038.79 +0035.54) | 000.3268% |
| Cluster 0019 | 0038 | (+0011.16 +0044.77 +0056.51) | 000.4967% |
| Cluster 0020 | 0034 | (+0004.18 +0033.86 +0040.93) | 000.4444% |
| Cluster 0021 | 0004 | (+0018.70 +0034.02 +0037.17) | 000.0523% |
| Cluster 0022 | 0003 | (+0002.68 +0044.15 +0033.44) | 000.0392% |
| Cluster 0023 | 0215 | (+0007.39 +0061.69 +0057.29) | 002.8105% |
| Cluster 0024 | 0010 | (+0016.80 +0061.83 +0062.97) | 000.1307% |
| Cluster 0025 | 0034 | (+0011.43 +0029.33 +0055.97) | 000.4444% |
| Cluster 0026 | 0001 | (+0022.37 +0068.90 +0028.36) | 000.0131% |
