Molecule 3C7X :
Nb of atoms : 7650
Nb of clusters : 27
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1867 | (+0023.07 +0019.85 +0015.44) | 024.4052% |
| Cluster 0001 | 0701 | (+0033.74 +0002.63 +0019.21) | 009.1634% |
| Cluster 0002 | 0183 | (+0018.58 +0026.24 +0006.53) | 002.3922% |
| Cluster 0003 | 1142 | (+0038.89 +0015.22 +0012.01) | 014.9281% |
| Cluster 0004 | 0015 | (+0013.79 +0015.45 +0014.63) | 000.1961% |
| Cluster 0005 | 0001 | (+0013.91 +0020.85 +0008.80) | 000.0131% |
| Cluster 0006 | 0525 | (+0038.94 -0000.31 +0018.93) | 006.8627% |
| Cluster 0007 | 0331 | (+0021.63 -0001.54 +0018.50) | 004.3268% |
| Cluster 0008 | 0063 | (+0023.44 -0006.47 +0009.88) | 000.8235% |
| Cluster 0009 | 0029 | (+0026.60 -0008.23 +0004.74) | 000.3791% |
| Cluster 0010 | 0053 | (+0045.84 +0005.02 +0013.25) | 000.6928% |
| Cluster 0011 | 0555 | (+0048.68 +0000.58 -0005.98) | 007.2549% |
| Cluster 0012 | 0890 | (+0046.41 +0021.67 -0005.01) | 011.6340% |
| Cluster 0013 | 0015 | (+0035.91 +0000.64 -0011.09) | 000.1961% |
| Cluster 0014 | 0017 | (+0026.97 +0008.73 -0004.49) | 000.2222% |
| Cluster 0015 | 0084 | (+0040.46 -0005.54 +0008.52) | 001.0980% |
| Cluster 0016 | 0003 | (+0046.65 +0005.80 +0016.52) | 000.0392% |
| Cluster 0017 | 0750 | (+0055.18 +0005.74 -0001.23) | 009.8039% |
| Cluster 0018 | 0061 | (+0044.45 +0020.91 +0009.02) | 000.7974% |
| Cluster 0019 | 0001 | (+0048.98 -0008.54 -0003.27) | 000.0131% |
| Cluster 0020 | 0200 | (+0034.52 +0022.52 +0013.58) | 002.6144% |
| Cluster 0021 | 0004 | (+0042.48 +0008.05 -0012.33) | 000.0523% |
| Cluster 0022 | 0024 | (+0015.53 +0019.82 -0003.65) | 000.3137% |
| Cluster 0023 | 0110 | (+0034.72 +0028.32 -0001.28) | 001.4379% |
| Cluster 0024 | 0024 | (+0030.63 +0030.92 +0003.94) | 000.3137% |
| Cluster 0025 | 0001 | (+0036.98 +0028.97 +0001.41) | 000.0131% |
| Cluster 0026 | 0001 | (+0050.23 +0014.72 +0001.23) | 000.0131% |
