Molecule 3THC :
Nb of atoms : 26350
Nb of clusters : 66
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1172 | (-0017.23 +0003.42 +0016.76) | 004.4478% |
| Cluster 0001 | 0742 | (-0012.21 +0024.88 +0009.51) | 002.8159% |
| Cluster 0002 | 0099 | (-0014.49 -0001.63 +0020.06) | 000.3757% |
| Cluster 0003 | 2038 | (+0000.25 +0019.06 +0018.51) | 007.7343% |
| Cluster 0004 | 0233 | (+0009.06 +0006.43 +0021.97) | 000.8843% |
| Cluster 0005 | 3976 | (-0005.13 +0004.09 +0052.09) | 015.0892% |
| Cluster 0006 | 0544 | (-0024.49 +0029.74 +0020.03) | 002.0645% |
| Cluster 0007 | 0323 | (-0009.81 -0001.23 +0040.72) | 001.2258% |
| Cluster 0008 | 0690 | (-0004.63 -0008.12 +0007.04) | 002.6186% |
| Cluster 0009 | 1696 | (+0009.42 +0022.36 +0033.55) | 006.4364% |
| Cluster 0010 | 1005 | (-0005.65 +0025.48 +0032.88) | 003.8140% |
| Cluster 0011 | 0456 | (-0022.52 +0023.31 +0036.89) | 001.7306% |
| Cluster 0012 | 0202 | (-0005.28 +0031.37 +0019.22) | 000.7666% |
| Cluster 0013 | 0215 | (-0012.63 +0008.68 +0000.59) | 000.8159% |
| Cluster 0014 | 0388 | (-0002.09 +0018.14 +0000.64) | 001.4725% |
| Cluster 0015 | 1327 | (+0013.96 +0016.28 +0009.69) | 005.0361% |
| Cluster 0016 | 0807 | (+0014.45 +0021.53 +0032.37) | 003.0626% |
| Cluster 0017 | 2817 | (+0019.44 -0005.13 +0032.84) | 010.6907% |
| Cluster 0018 | 2176 | (+0020.10 -0003.47 +0019.45) | 008.2581% |
| Cluster 0019 | 0223 | (+0015.79 +0006.02 +0016.80) | 000.8463% |
| Cluster 0020 | 1032 | (+0008.91 +0002.96 +0044.93) | 003.9165% |
| Cluster 0021 | 0429 | (+0005.45 -0014.09 +0034.39) | 001.6281% |
| Cluster 0022 | 0036 | (+0007.83 +0003.52 +0023.64) | 000.1366% |
| Cluster 0023 | 0265 | (+0018.56 -0026.16 +0010.50) | 001.0057% |
| Cluster 0024 | 0060 | (+0018.82 -0021.14 +0021.42) | 000.2277% |
| Cluster 0025 | 0004 | (-0003.11 +0028.92 +0017.29) | 000.0152% |
| Cluster 0026 | 0040 | (-0014.69 -0001.84 +0006.33) | 000.1518% |
| Cluster 0027 | 0353 | (-0009.35 -0017.20 +0011.18) | 001.3397% |
| Cluster 0028 | 0122 | (-0011.34 -0014.52 +0025.55) | 000.4630% |
| Cluster 0029 | 0005 | (-0008.58 -0015.32 +0000.41) | 000.0190% |
| Cluster 0030 | 0144 | (+0004.31 -0009.12 -0014.12) | 000.5465% |
| Cluster 0031 | 0064 | (-0000.95 -0011.74 +0037.35) | 000.2429% |
| Cluster 0032 | 0118 | (-0001.00 +0000.54 +0050.69) | 000.4478% |
| Cluster 0033 | 0112 | (-0001.06 -0021.76 +0021.17) | 000.4250% |
| Cluster 0034 | 0002 | (+0009.62 -0030.79 +0020.56) | 000.0076% |
| Cluster 0035 | 0103 | (-0032.97 +0026.34 +0031.09) | 000.3909% |
| Cluster 0036 | 0163 | (+0000.71 +0021.81 +0039.06) | 000.6186% |
| Cluster 0037 | 0007 | (-0033.77 +0025.56 +0030.10) | 000.0266% |
| Cluster 0038 | 0019 | (-0029.71 +0021.69 +0014.64) | 000.0721% |
| Cluster 0039 | 0001 | (-0012.04 +0021.19 +0000.02) | 000.0038% |
| Cluster 0040 | 0001 | (-0014.39 +0033.18 +0015.47) | 000.0038% |
| Cluster 0041 | 0054 | (-0004.55 +0013.06 +0044.85) | 000.2049% |
| Cluster 0042 | 0607 | (+0016.96 -0006.12 -0011.77) | 002.3036% |
| Cluster 0043 | 0138 | (+0015.88 -0022.43 -0001.27) | 000.5237% |
| Cluster 0044 | 0348 | (+0018.84 +0003.34 -0008.71) | 001.3207% |
| Cluster 0045 | 0386 | (-0018.69 +0007.13 +0035.49) | 001.4649% |
| Cluster 0046 | 0017 | (-0016.09 -0000.05 +0031.22) | 000.0645% |
| Cluster 0047 | 0075 | (-0004.98 +0001.65 +0053.48) | 000.2846% |
| Cluster 0048 | 0002 | (-0028.27 +0015.37 +0032.44) | 000.0076% |
| Cluster 0049 | 0001 | (-0008.40 +0019.38 +0041.57) | 000.0038% |
| Cluster 0050 | 0003 | (-0022.43 +0010.44 +0010.30) | 000.0114% |
| Cluster 0051 | 0002 | (-0013.96 -0008.87 +0014.28) | 000.0076% |
| Cluster 0052 | 0002 | (+0014.07 -0020.16 -0016.90) | 000.0076% |
| Cluster 0053 | 0023 | (+0020.96 -0018.00 +0010.85) | 000.0873% |
| Cluster 0054 | 0055 | (+0021.27 +0005.98 +0009.07) | 000.2087% |
| Cluster 0055 | 0002 | (+0022.57 -0019.34 +0017.31) | 000.0076% |
| Cluster 0056 | 0003 | (+0024.75 -0018.98 -0004.35) | 000.0114% |
| Cluster 0057 | 0138 | (+0020.56 +0002.79 +0043.66) | 000.5237% |
| Cluster 0058 | 0152 | (+0013.49 +0009.67 +0035.14) | 000.5769% |
| Cluster 0059 | 0011 | (-0012.59 +0017.74 +0029.74) | 000.0417% |
| Cluster 0060 | 0014 | (-0021.09 +0032.79 +0033.96) | 000.0531% |
| Cluster 0061 | 0001 | (-0027.69 +0033.25 +0037.42) | 000.0038% |
| Cluster 0062 | 0038 | (+0026.16 -0004.47 -0002.96) | 000.1442% |
| Cluster 0063 | 0017 | (-0009.37 +0003.59 -0012.95) | 000.0645% |
| Cluster 0064 | 0051 | (-0014.43 +0008.64 +0052.68) | 000.1935% |
| Cluster 0065 | 0001 | (-0013.46 -0006.71 +0031.20) | 000.0038% |
