Molecule 3VI4 :
Nb of atoms : 59347
Nb of clusters : 130
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1862 | (+0036.22 -0001.52 -0026.69) | 003.1375% |
| Cluster 0001 | 0655 | (+0019.42 -0013.76 -0014.82) | 001.1037% |
| Cluster 0002 | 0139 | (+0015.07 -0024.05 -0006.73) | 000.2342% |
| Cluster 0003 | 0700 | (+0017.87 +0001.59 -0018.36) | 001.1795% |
| Cluster 0004 | 0178 | (+0019.65 -0027.77 -0027.13) | 000.2999% |
| Cluster 0005 | 1840 | (+0016.00 -0002.80 +0005.33) | 003.1004% |
| Cluster 0006 | 2206 | (+0014.11 +0021.50 +0025.57) | 003.7171% |
| Cluster 0007 | 0233 | (+0015.29 +0023.33 +0032.66) | 000.3926% |
| Cluster 0008 | 1278 | (+0030.97 +0036.10 +0028.33) | 002.1534% |
| Cluster 0009 | 1052 | (+0014.31 +0003.27 +0017.33) | 001.7726% |
| Cluster 0010 | 5097 | (+0030.66 +0053.89 +0018.74) | 008.5885% |
| Cluster 0011 | 1179 | (+0020.75 +0036.53 +0010.78) | 001.9866% |
| Cluster 0012 | 0769 | (+0031.07 +0043.40 +0031.39) | 001.2958% |
| Cluster 0013 | 2380 | (+0006.14 +0037.91 +0026.37) | 004.0103% |
| Cluster 0014 | 0126 | (+0022.99 +0049.50 +0016.65) | 000.2123% |
| Cluster 0015 | 1757 | (+0043.96 +0040.67 +0024.72) | 002.9606% |
| Cluster 0016 | 0696 | (+0009.19 +0029.00 +0013.32) | 001.1728% |
| Cluster 0017 | 0297 | (+0041.15 +0036.24 +0008.76) | 000.5004% |
| Cluster 0018 | 0344 | (+0000.94 +0024.80 +0023.99) | 000.5796% |
| Cluster 0019 | 2178 | (+0041.76 +0055.33 +0016.90) | 003.6699% |
| Cluster 0020 | 0550 | (+0007.83 +0014.12 -0003.47) | 000.9268% |
| Cluster 0021 | 3547 | (+0036.36 +0040.69 -0015.91) | 005.9767% |
| Cluster 0022 | 0811 | (+0020.30 +0012.03 -0013.24) | 001.3665% |
| Cluster 0023 | 0286 | (+0013.13 +0012.49 -0026.27) | 000.4819% |
| Cluster 0024 | 0473 | (+0025.79 +0030.74 -0013.35) | 000.7970% |
| Cluster 0025 | 1237 | (-0013.05 +0011.77 -0012.28) | 002.0844% |
| Cluster 0026 | 0733 | (-0020.30 +0017.81 -0004.49) | 001.2351% |
| Cluster 0027 | 0145 | (+0014.17 +0010.86 +0010.01) | 000.2443% |
| Cluster 0028 | 0550 | (-0003.95 +0029.07 +0007.65) | 000.9268% |
| Cluster 0029 | 1323 | (+0044.52 +0052.70 +0024.10) | 002.2293% |
| Cluster 0030 | 0272 | (+0039.73 +0044.14 +0035.47) | 000.4583% |
| Cluster 0031 | 1232 | (+0041.89 +0027.29 +0013.86) | 002.0759% |
| Cluster 0032 | 0477 | (+0013.44 +0008.60 -0041.56) | 000.8037% |
| Cluster 0033 | 0096 | (+0004.69 +0008.97 -0015.77) | 000.1618% |
| Cluster 0034 | 0013 | (-0005.37 +0020.80 -0012.07) | 000.0219% |
| Cluster 0035 | 0514 | (+0044.86 +0031.02 -0020.38) | 000.8661% |
| Cluster 0036 | 0645 | (+0039.12 +0043.12 -0027.18) | 001.0868% |
| Cluster 0037 | 1785 | (+0040.26 +0015.82 -0014.44) | 003.0077% |
| Cluster 0038 | 0608 | (+0047.51 +0043.18 +0011.04) | 001.0245% |
| Cluster 0039 | 0074 | (+0048.66 +0044.95 +0012.69) | 000.1247% |
| Cluster 0040 | 0017 | (+0054.15 +0041.75 +0018.66) | 000.0286% |
| Cluster 0041 | 1144 | (+0041.70 +0057.57 +0022.53) | 001.9276% |
| Cluster 0042 | 0016 | (+0037.17 +0043.97 +0007.01) | 000.0270% |
| Cluster 0043 | 2022 | (-0007.29 +0001.05 +0005.22) | 003.4071% |
| Cluster 0044 | 0920 | (-0014.43 -0005.07 -0015.25) | 001.5502% |
| Cluster 0045 | 0084 | (-0028.10 -0000.69 -0003.22) | 000.1415% |
| Cluster 0046 | 0094 | (-0017.72 +0016.31 +0006.87) | 000.1584% |
| Cluster 0047 | 1119 | (+0003.38 -0015.05 +0002.72) | 001.8855% |
| Cluster 0048 | 0019 | (-0011.41 -0004.34 -0018.11) | 000.0320% |
| Cluster 0049 | 0214 | (-0015.15 +0007.20 +0013.99) | 000.3606% |
| Cluster 0050 | 0015 | (+0003.54 -0015.66 +0002.15) | 000.0253% |
| Cluster 0051 | 0002 | (-0028.85 +0009.26 -0007.29) | 000.0034% |
| Cluster 0052 | 0148 | (-0027.45 -0012.30 +0005.40) | 000.2494% |
| Cluster 0053 | 0445 | (+0006.35 +0000.30 -0027.05) | 000.7498% |
| Cluster 0054 | 0006 | (-0025.88 +0005.91 +0007.39) | 000.0101% |
| Cluster 0055 | 0538 | (+0026.96 +0037.68 -0024.04) | 000.9065% |
| Cluster 0056 | 0024 | (+0027.83 +0036.11 -0028.03) | 000.0404% |
| Cluster 0057 | 0016 | (+0046.88 +0042.92 -0017.94) | 000.0270% |
| Cluster 0058 | 0743 | (+0030.31 +0052.13 -0017.08) | 001.2520% |
| Cluster 0059 | 0406 | (+0041.39 +0057.39 +0023.64) | 000.6841% |
| Cluster 0060 | 1437 | (-0008.30 -0016.46 +0021.51) | 002.4214% |
