Molecule 5MX0 :
Nb of atoms : 18700
Nb of clusters : 43
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2995 | (-0022.65 +0023.51 +0161.67) | 016.0160% |
| Cluster 0001 | 2165 | (-0020.90 +0038.37 +0153.61) | 011.5775% |
| Cluster 0002 | 2673 | (-0030.43 +0041.92 +0159.72) | 014.2941% |
| Cluster 0003 | 0558 | (-0041.63 +0019.04 +0157.52) | 002.9840% |
| Cluster 0004 | 1601 | (-0035.96 +0041.96 +0143.36) | 008.5615% |
| Cluster 0005 | 0379 | (-0025.53 +0020.74 +0142.56) | 002.0267% |
| Cluster 0006 | 1221 | (-0045.28 +0032.32 +0156.92) | 006.5294% |
| Cluster 0007 | 0328 | (-0039.30 +0013.17 +0137.89) | 001.7540% |
| Cluster 0008 | 0056 | (-0019.16 +0016.65 +0151.64) | 000.2995% |
| Cluster 0009 | 0099 | (-0052.93 +0002.04 +0141.58) | 000.5294% |
| Cluster 0010 | 0395 | (-0059.14 +0001.95 +0158.97) | 002.1123% |
| Cluster 0011 | 0746 | (-0023.79 +0042.73 +0143.62) | 003.9893% |
| Cluster 0012 | 0197 | (-0051.55 +0020.07 +0156.15) | 001.0535% |
| Cluster 0013 | 0228 | (-0037.10 +0045.05 +0145.37) | 001.2193% |
| Cluster 0014 | 0024 | (-0032.95 +0047.41 +0141.34) | 000.1283% |
| Cluster 0015 | 0064 | (-0033.23 +0043.34 +0158.43) | 000.3422% |
| Cluster 0016 | 0008 | (-0042.36 +0041.70 +0154.47) | 000.0428% |
| Cluster 0017 | 0011 | (-0036.73 +0023.44 +0161.93) | 000.0588% |
| Cluster 0018 | 1474 | (-0074.21 +0020.39 +0157.98) | 007.8824% |
| Cluster 0019 | 0774 | (-0086.66 +0010.91 +0161.60) | 004.1390% |
| Cluster 0020 | 0094 | (-0088.38 +0019.90 +0157.35) | 000.5027% |
| Cluster 0021 | 0001 | (-0087.65 +0016.79 +0149.71) | 000.0053% |
| Cluster 0022 | 0363 | (-0062.05 +0021.63 +0154.59) | 001.9412% |
| Cluster 0023 | 0076 | (-0062.36 +0028.80 +0140.22) | 000.4064% |
| Cluster 0024 | 0328 | (-0061.60 +0016.16 +0135.17) | 001.7540% |
| Cluster 0025 | 0376 | (-0064.53 +0004.64 +0139.40) | 002.0107% |
| Cluster 0026 | 0103 | (-0057.90 +0015.72 +0134.09) | 000.5508% |
| Cluster 0027 | 0332 | (-0069.13 +0003.79 +0167.27) | 001.7754% |
| Cluster 0028 | 0330 | (-0044.63 +0033.36 +0138.43) | 001.7647% |
| Cluster 0029 | 0001 | (-0043.94 +0004.87 +0134.49) | 000.0053% |
| Cluster 0030 | 0025 | (-0045.27 +0022.99 +0134.29) | 000.1337% |
| Cluster 0031 | 0023 | (-0030.99 +0033.73 +0141.43) | 000.1230% |
| Cluster 0032 | 0016 | (-0024.34 +0045.59 +0141.34) | 000.0856% |
| Cluster 0033 | 0081 | (-0018.94 +0035.48 +0160.50) | 000.4332% |
| Cluster 0034 | 0122 | (-0020.49 +0043.36 +0157.23) | 000.6524% |
| Cluster 0035 | 0011 | (-0059.52 +0012.70 +0158.45) | 000.0588% |
| Cluster 0036 | 0010 | (-0074.52 +0015.03 +0164.86) | 000.0535% |
| Cluster 0037 | 0089 | (-0081.81 +0004.22 +0145.39) | 000.4759% |
| Cluster 0038 | 0155 | (-0083.32 +0003.55 +0164.29) | 000.8289% |
| Cluster 0039 | 0038 | (-0074.83 +0000.02 +0140.09) | 000.2032% |
| Cluster 0040 | 0050 | (-0077.15 -0003.33 +0160.22) | 000.2674% |
| Cluster 0041 | 0024 | (-0073.18 +0010.79 +0137.44) | 000.1283% |
| Cluster 0042 | 0056 | (-0028.48 +0032.25 +0166.98) | 000.2995% |
