Molecule Rebp :
Nb of atoms : 13600
Nb of clusters : 30
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 2497 | (+0037.02 +0034.98 +0127.94) | 018.3603% |
| Cluster 0001 | 2431 | (+0040.69 +0038.78 +0140.20) | 017.8750% |
| Cluster 0002 | 0120 | (+0044.16 +0034.71 +0118.74) | 000.8824% |
| Cluster 0003 | 0297 | (+0034.02 +0032.39 +0143.09) | 002.1838% |
| Cluster 0004 | 0184 | (+0040.57 +0024.44 +0149.83) | 001.3529% |
| Cluster 0005 | 0208 | (+0031.71 +0035.11 +0110.62) | 001.5294% |
| Cluster 0006 | 1030 | (+0055.64 +0035.17 +0134.92) | 007.5735% |
| Cluster 0007 | 1512 | (+0034.50 +0031.69 +0156.98) | 011.1176% |
| Cluster 0008 | 0300 | (+0030.61 +0014.42 +0156.39) | 002.2059% |
| Cluster 0009 | 0778 | (+0042.16 +0039.53 +0154.27) | 005.7206% |
| Cluster 0010 | 0559 | (+0024.82 +0032.92 +0153.92) | 004.1103% |
| Cluster 0011 | 0008 | (+0039.64 +0008.22 +0154.67) | 000.0588% |
| Cluster 0012 | 0027 | (+0042.07 +0020.03 +0146.35) | 000.1985% |
| Cluster 0013 | 0120 | (+0035.37 +0017.65 +0119.72) | 000.8824% |
| Cluster 0014 | 0494 | (+0050.49 +0018.98 +0131.24) | 003.6324% |
| Cluster 0015 | 2073 | (+0056.18 +0038.10 +0139.42) | 015.2426% |
| Cluster 0016 | 0216 | (+0055.26 +0029.61 +0115.55) | 001.5882% |
| Cluster 0017 | 0019 | (+0043.33 +0031.87 +0109.95) | 000.1397% |
| Cluster 0018 | 0013 | (+0035.85 +0024.65 +0108.31) | 000.0956% |
| Cluster 0019 | 0120 | (+0055.69 +0040.03 +0140.84) | 000.8824% |
| Cluster 0020 | 0017 | (+0056.45 +0026.64 +0137.14) | 000.1250% |
| Cluster 0021 | 0014 | (+0057.89 +0019.73 +0124.64) | 000.1029% |
| Cluster 0022 | 0016 | (+0025.12 +0022.66 +0117.10) | 000.1176% |
| Cluster 0023 | 0034 | (+0027.72 +0033.97 +0146.39) | 000.2500% |
| Cluster 0024 | 0051 | (+0022.81 +0022.55 +0134.72) | 000.3750% |
| Cluster 0025 | 0001 | (+0049.52 +0045.39 +0146.60) | 000.0074% |
| Cluster 0026 | 0028 | (+0047.24 +0030.91 +0147.98) | 000.2059% |
| Cluster 0027 | 0427 | (+0016.50 +0021.33 +0153.30) | 003.1397% |
| Cluster 0028 | 0005 | (+0031.69 +0042.75 +0155.35) | 000.0368% |
| Cluster 0029 | 0001 | (+0044.41 +0027.35 +0156.30) | 000.0074% |
