Molecule : 3THC
Nb of atoms : 26350
Nb of clusters : 10
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 12335 | (+0000.67 +0003.38 +0015.00) | 046.8121% |
| Cluster 0001 | 5704 | (+0006.70 -0000.16 +0007.99) | 021.6471% |
| Cluster 0002 | 0132 | (-0002.70 +0000.55 +0020.14) | 000.5009% |
| Cluster 0003 | 5209 | (-0003.46 +0005.97 +0005.23) | 019.7685% |
| Cluster 0004 | 0378 | (-0009.87 +0009.72 +0012.85) | 001.4345% |
| Cluster 0005 | 1561 | (+0005.24 -0002.73 -0002.57) | 005.9241% |
| Cluster 0006 | 0739 | (-0003.11 -0005.76 +0005.01) | 002.8046% |
| Cluster 0007 | 0103 | (+0006.82 -0011.06 +0004.49) | 000.3909% |
| Cluster 0008 | 0185 | (+0006.17 +0009.96 +0011.99) | 000.7021% |
| Cluster 0009 | 0004 | (-0005.71 -0002.84 +0010.77) | 000.0152% |
