Molecule : 3VI4
Nb of atoms : 86056
Nb of clusters : 17
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 13501 | (-0000.66 -0002.22 +0007.57) | 015.6886% |
| Cluster 0001 | 26072 | (+0012.93 +0017.28 +0007.78) | 030.2966% |
| Cluster 0002 | 9731 | (+0014.36 +0010.87 -0006.31) | 011.3078% |
| Cluster 0003 | 9451 | (+0006.34 +0002.34 -0002.24) | 010.9824% |
| Cluster 0004 | 6356 | (-0004.23 +0003.31 -0005.07) | 007.3859% |
| Cluster 0005 | 5407 | (+0010.86 -0000.11 -0012.58) | 006.2831% |
| Cluster 0006 | 2466 | (+0005.58 -0009.56 -0007.83) | 002.8656% |
| Cluster 0007 | 0497 | (-0001.13 -0008.62 -0012.12) | 000.5775% |
| Cluster 0008 | 3852 | (+0014.15 +0014.95 -0008.04) | 004.4762% |
| Cluster 0009 | 6277 | (+0002.50 +0011.02 +0010.07) | 007.2941% |
| Cluster 0010 | 0124 | (+0015.42 +0005.00 -0004.19) | 000.1441% |
| Cluster 0011 | 1916 | (-0005.46 -0009.22 -0003.64) | 002.2265% |
| Cluster 0012 | 0251 | (-0009.87 -0006.70 +0002.33) | 000.2917% |
| Cluster 0013 | 0136 | (-0006.65 +0007.82 +0002.70) | 000.1580% |
| Cluster 0014 | 0016 | (-0002.96 -0011.76 -0011.73) | 000.0186% |
| Cluster 0015 | 0001 | (+0003.10 +0007.38 -0011.02) | 000.0012% |
| Cluster 0016 | 0002 | (+0011.14 -0008.59 -0017.88) | 000.0023% |
