Molecule : 3VI3
Nb of atoms : 84971
Nb of clusters : 18
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 24931 | (+0013.89 +0017.79 +0007.55) | 029.3406% |
| Cluster 0001 | 14727 | (+0011.98 +0006.45 -0007.34) | 017.3318% |
| Cluster 0002 | 3898 | (+0013.07 +0015.13 -0007.33) | 004.5874% |
| Cluster 0003 | 3276 | (+0009.52 -0004.54 -0011.43) | 003.8554% |
| Cluster 0004 | 0158 | (+0015.71 +0006.28 -0002.52) | 000.1859% |
| Cluster 0005 | 9005 | (-0001.71 -0003.61 -0002.66) | 010.5977% |
| Cluster 0006 | 1313 | (+0000.67 -0008.32 -0012.16) | 001.5452% |
| Cluster 0007 | 5867 | (-0002.53 +0006.80 -0000.15) | 006.9047% |
| Cluster 0008 | 12460 | (+0002.94 +0000.75 +0008.56) | 014.6638% |
| Cluster 0009 | 0423 | (+0002.11 +0003.82 -0013.21) | 000.4978% |
| Cluster 0010 | 5390 | (+0002.78 +0013.32 +0009.83) | 006.3433% |
| Cluster 0011 | 0835 | (+0006.67 -0008.38 -0003.57) | 000.9827% |
| Cluster 0012 | 2504 | (-0005.41 -0005.14 +0008.69) | 002.9469% |
| Cluster 0013 | 0030 | (-0001.87 +0009.62 +0011.57) | 000.0353% |
| Cluster 0014 | 0002 | (-0000.11 -0010.06 -0014.16) | 000.0024% |
| Cluster 0015 | 0008 | (+0013.23 +0009.33 +0004.14) | 000.0094% |
| Cluster 0016 | 0126 | (-0008.68 -0012.06 +0002.59) | 000.1483% |
| Cluster 0017 | 0018 | (-0011.61 -0001.93 +0000.45) | 000.0212% |
