Molecule : 3VI3
Nb of atoms : 58633
Nb of clusters : 18
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 11639 | (+0012.96 +0008.54 -0007.26) | 019.8506% |
| Cluster 0001 | 12172 | (+0001.47 -0000.35 +0002.92) | 020.7596% |
| Cluster 0002 | 4018 | (+0007.95 -0003.20 -0011.91) | 006.8528% |
| Cluster 0003 | 2319 | (-0005.83 +0003.09 -0003.10) | 003.9551% |
| Cluster 0004 | 12531 | (+0007.19 +0013.36 +0008.73) | 021.3719% |
| Cluster 0005 | 1972 | (-0003.01 -0004.09 +0008.81) | 003.3633% |
| Cluster 0006 | 11941 | (+0014.67 +0018.98 +0007.16) | 020.3657% |
| Cluster 0007 | 0867 | (-0000.27 -0009.64 -0006.23) | 001.4787% |
| Cluster 0008 | 0025 | (+0006.94 +0000.54 +0003.57) | 000.0426% |
| Cluster 0009 | 0043 | (-0001.19 -0010.95 -0012.19) | 000.0733% |
| Cluster 0010 | 0388 | (+0015.87 +0009.22 +0004.47) | 000.6617% |
| Cluster 0011 | 0001 | (+0016.30 +0011.21 +0003.74) | 000.0017% |
| Cluster 0012 | 0383 | (+0000.78 +0011.95 +0009.72) | 000.6532% |
| Cluster 0013 | 0032 | (-0001.75 +0002.49 +0011.22) | 000.0546% |
| Cluster 0014 | 0035 | (+0000.83 +0002.35 -0011.88) | 000.0597% |
| Cluster 0015 | 0021 | (+0010.12 -0004.77 -0017.56) | 000.0358% |
| Cluster 0016 | 0011 | (+0012.36 +0017.14 -0010.57) | 000.0188% |
| Cluster 0017 | 0235 | (-0010.38 -0007.97 +0002.35) | 000.4008% |
