Molecule : 4G1M
Nb of atoms : 89114
Nb of clusters : 26
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 11080 | (+0008.83 +0010.95 +0013.31) | 012.4335% |
| Cluster 0001 | 7217 | (-0007.35 +0008.95 +0015.44) | 008.0986% |
| Cluster 0002 | 14885 | (-0003.63 +0011.49 +0030.80) | 016.7033% |
| Cluster 0003 | 5870 | (-0013.71 +0015.60 +0025.53) | 006.5871% |
| Cluster 0004 | 14701 | (+0011.78 +0022.70 +0006.84) | 016.4968% |
| Cluster 0005 | 8685 | (-0015.13 +0018.80 +0003.02) | 009.7459% |
| Cluster 0006 | 8635 | (-0000.59 +0023.19 +0011.73) | 009.6898% |
| Cluster 0007 | 1951 | (-0001.41 +0022.61 -0000.16) | 002.1893% |
| Cluster 0008 | 2706 | (-0003.03 +0008.69 +0004.39) | 003.0366% |
| Cluster 0009 | 5445 | (-0009.56 +0013.40 +0033.03) | 006.1102% |
| Cluster 0010 | 0186 | (+0003.64 +0014.00 +0017.83) | 000.2087% |
| Cluster 0011 | 0596 | (-0009.22 +0006.23 +0033.00) | 000.6688% |
| Cluster 0012 | 0262 | (-0001.95 +0001.98 +0023.18) | 000.2940% |
| Cluster 0013 | 1950 | (-0018.47 +0008.70 -0001.39) | 002.1882% |
| Cluster 0014 | 0385 | (-0013.35 +0000.76 +0004.42) | 000.4320% |
| Cluster 0015 | 1972 | (-0006.72 +0022.91 -0000.89) | 002.2129% |
| Cluster 0016 | 0244 | (-0021.28 +0018.95 -0004.12) | 000.2738% |
| Cluster 0017 | 0575 | (+0003.25 +0016.71 +0000.84) | 000.6452% |
| Cluster 0018 | 1325 | (-0019.72 +0014.97 +0014.27) | 001.4869% |
| Cluster 0019 | 0022 | (-0024.56 +0017.50 +0000.04) | 000.0247% |
| Cluster 0020 | 0004 | (-0011.52 +0002.41 +0008.35) | 000.0045% |
| Cluster 0021 | 0006 | (-0001.51 +0011.46 +0006.67) | 000.0067% |
| Cluster 0022 | 0335 | (+0004.12 +0000.42 +0013.77) | 000.3759% |
| Cluster 0023 | 0033 | (-0003.51 +0001.64 +0021.07) | 000.0370% |
| Cluster 0024 | 0001 | (-0005.37 +0000.70 +0021.19) | 000.0011% |
| Cluster 0025 | 0043 | (-0017.86 +0016.65 +0019.28) | 000.0483% |
