Molecule : 3THC
Nb of atoms : 36673
Nb of clusters : 14
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 16630 | (+0005.57 +0003.26 +0009.00) | 045.3467% |
| Cluster 0001 | 10147 | (-0003.33 +0006.65 +0012.23) | 027.6689% |
| Cluster 0002 | 3358 | (+0003.81 -0003.13 +0014.25) | 009.1566% |
| Cluster 0003 | 3235 | (-0004.59 +0004.77 +0002.16) | 008.8212% |
| Cluster 0004 | 0014 | (-0011.47 +0012.02 +0013.55) | 000.0382% |
| Cluster 0005 | 2255 | (+0003.83 -0007.90 +0002.42) | 006.1489% |
| Cluster 0006 | 0048 | (+0006.49 +0010.41 +0012.65) | 000.1309% |
| Cluster 0007 | 0597 | (-0004.76 -0004.94 +0007.76) | 001.6279% |
| Cluster 0008 | 0009 | (-0003.63 +0013.48 +0005.72) | 000.0245% |
| Cluster 0009 | 0169 | (-0001.91 -0005.20 -0002.90) | 000.4608% |
| Cluster 0010 | 0196 | (+0007.46 +0001.39 -0003.31) | 000.5345% |
| Cluster 0011 | 0003 | (-0002.90 -0009.26 +0008.32) | 000.0082% |
| Cluster 0012 | 0005 | (-0012.15 +0003.28 +0009.28) | 000.0136% |
| Cluster 0013 | 0007 | (-0002.87 +0000.84 +0021.03) | 000.0191% |
