Molecule : 3VI4
Nb of atoms : 68476
Nb of clusters : 14
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 16664 | (+0012.55 +0016.63 +0008.10) | 024.3355% |
| Cluster 0001 | 13484 | (+0002.99 -0000.20 -0002.04) | 019.6916% |
| Cluster 0002 | 7671 | (-0002.88 +0008.27 +0003.08) | 011.2025% |
| Cluster 0003 | 10335 | (+0014.51 +0013.29 -0006.44) | 015.0929% |
| Cluster 0004 | 3082 | (+0010.39 -0003.31 -0014.49) | 004.5008% |
| Cluster 0005 | 2610 | (+0010.01 +0001.77 -0005.19) | 003.8116% |
| Cluster 0006 | 0917 | (-0004.88 -0006.65 -0005.81) | 001.3392% |
| Cluster 0007 | 0018 | (+0017.55 +0007.54 -0005.39) | 000.0263% |
| Cluster 0008 | 2791 | (+0010.87 +0019.08 +0008.07) | 004.0759% |
| Cluster 0009 | 1190 | (+0014.32 +0020.98 +0005.32) | 001.7378% |
| Cluster 0010 | 5435 | (-0000.90 -0003.26 +0008.31) | 007.9371% |
| Cluster 0011 | 0023 | (-0011.09 -0006.64 +0002.47) | 000.0336% |
| Cluster 0012 | 4232 | (+0004.68 +0009.59 +0011.39) | 006.1803% |
| Cluster 0013 | 0024 | (-0007.23 +0003.99 -0004.04) | 000.0350% |
