Molecule : 4G1M
Nb of atoms : 109250
Nb of clusters : 22
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 22405 | (+0012.48 +0022.14 +0008.53) | 020.5080% |
| Cluster 0001 | 12063 | (-0000.59 +0010.89 +0007.29) | 011.0416% |
| Cluster 0002 | 12336 | (-0001.74 +0023.47 +0012.82) | 011.2915% |
| Cluster 0003 | 7451 | (+0010.43 +0011.26 +0015.72) | 006.8201% |
| Cluster 0004 | 1709 | (+0007.61 +0011.28 +0015.58) | 001.5643% |
| Cluster 0005 | 9096 | (-0014.39 +0015.94 +0020.21) | 008.3259% |
| Cluster 0006 | 5756 | (-0019.01 +0011.91 +0002.10) | 005.2686% |
| Cluster 0007 | 4214 | (-0008.72 +0024.16 +0006.52) | 003.8572% |
| Cluster 0008 | 19840 | (-0005.27 +0012.49 +0032.30) | 018.1602% |
| Cluster 0009 | 6408 | (-0005.94 +0010.89 +0028.47) | 005.8654% |
| Cluster 0010 | 0112 | (-0007.79 +0018.22 +0028.17) | 000.1025% |
| Cluster 0011 | 1529 | (-0006.99 +0005.88 +0014.67) | 001.3995% |
| Cluster 0012 | 0164 | (-0010.56 +0008.62 +0036.40) | 000.1501% |
| Cluster 0013 | 2695 | (-0009.88 +0022.53 -0001.15) | 002.4668% |
| Cluster 0014 | 1480 | (+0003.30 +0025.45 +0002.23) | 001.3547% |
| Cluster 0015 | 0442 | (-0023.47 +0017.46 +0003.70) | 000.4046% |
| Cluster 0016 | 0007 | (+0000.47 +0016.51 -0000.71) | 000.0064% |
| Cluster 0017 | 0152 | (-0015.29 +0018.54 +0009.79) | 000.1391% |
| Cluster 0018 | 0057 | (+0000.86 +0000.78 +0017.20) | 000.0522% |
| Cluster 0019 | 0164 | (+0002.15 -0000.39 +0011.10) | 000.1501% |
| Cluster 0020 | 0021 | (+0008.67 +0023.25 +0018.22) | 000.0192% |
| Cluster 0021 | 1149 | (-0009.30 +0002.98 +0001.75) | 001.0517% |
