Molecule : 4G1M
Nb of atoms : 158112
Nb of clusters : 12
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 46375 | (+0013.28 +0017.85 -0000.07) | 029.3305% |
| Cluster 0001 | 21256 | (+0009.81 +0004.82 -0000.07) | 013.4436% |
| Cluster 0002 | 45771 | (+0023.48 +0006.49 -0000.06) | 028.9485% |
| Cluster 0003 | 2839 | (+0008.41 +0002.46 -0000.08) | 001.7956% |
| Cluster 0004 | 34496 | (+0012.39 +0032.67 -0000.06) | 021.8174% |
| Cluster 0005 | 2301 | (+0002.15 +0029.33 -0000.06) | 001.4553% |
| Cluster 0006 | 2288 | (+0012.73 +0000.40 -0000.09) | 001.4471% |
| Cluster 0007 | 0130 | (-0000.02 +0010.98 -0000.07) | 000.0822% |
| Cluster 0008 | 2175 | (+0023.35 -0003.87 -0000.06) | 001.3756% |
| Cluster 0009 | 0374 | (+0024.23 +0017.93 -0000.01) | 000.2365% |
| Cluster 0010 | 0049 | (+0001.47 +0017.98 -0000.07) | 000.0310% |
| Cluster 0011 | 0058 | (+0000.14 -0003.46 -0000.04) | 000.0367% |
