Molecule : 4G1M
Nb of atoms : 106740
Nb of clusters : 12
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 46915 | (+0020.04 +0008.31 -0000.11) | 043.9526% |
| Cluster 0001 | 31076 | (+0012.09 +0030.96 -0000.11) | 029.1137% |
| Cluster 0002 | 16918 | (+0010.00 +0015.80 -0000.13) | 015.8497% |
| Cluster 0003 | 0061 | (+0001.92 +0032.22 -0000.10) | 000.0571% |
| Cluster 0004 | 0001 | (+0016.31 +0037.37 +0000.00) | 000.0009% |
| Cluster 0005 | 6136 | (+0009.06 +0000.36 -0000.13) | 005.7485% |
| Cluster 0006 | 4200 | (+0023.66 -0002.46 -0000.11) | 003.9348% |
| Cluster 0007 | 0610 | (+0024.71 +0017.41 -0000.04) | 000.5715% |
| Cluster 0008 | 0643 | (+0018.97 +0020.34 -0000.12) | 000.6024% |
| Cluster 0009 | 0017 | (+0000.53 +0021.29 -0000.09) | 000.0159% |
| Cluster 0010 | 0029 | (+0014.28 -0007.13 -0000.11) | 000.0272% |
| Cluster 0011 | 0134 | (+0000.79 +0006.00 -0000.11) | 000.1255% |
