Molecule : 3VI4
Nb of atoms : 59347
Nb of clusters : 11
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 8513 | (+0007.81 -0000.82 -0010.83) | 014.3444% |
| Cluster 0001 | 4987 | (+0013.56 +0013.97 -0007.14) | 008.4031% |
| Cluster 0002 | 5857 | (+0011.96 +0007.35 -0004.93) | 009.8691% |
| Cluster 0003 | 7298 | (-0000.84 +0000.49 -0000.74) | 012.2972% |
| Cluster 0004 | 0268 | (-0008.95 +0000.54 +0000.70) | 000.4516% |
| Cluster 0005 | 12287 | (+0009.50 +0013.60 +0004.95) | 020.7037% |
| Cluster 0006 | 1290 | (+0003.16 -0000.36 +0007.10) | 002.1737% |
| Cluster 0007 | 8241 | (+0003.02 +0006.19 +0010.11) | 013.8861% |
| Cluster 0008 | 8548 | (+0013.29 +0017.89 +0009.00) | 014.4034% |
| Cluster 0009 | 1211 | (-0001.14 +0001.52 +0011.36) | 002.0405% |
| Cluster 0010 | 0847 | (+0010.56 +0013.71 +0013.05) | 001.4272% |
