Molecule : 4G1M
Nb of atoms : 89114
Nb of clusters : 11
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 10741 | (-0010.70 +0021.29 -0001.80) | 012.0531% |
| Cluster 0001 | 11260 | (+0003.43 +0020.88 +0003.13) | 012.6355% |
| Cluster 0002 | 0007 | (-0026.16 +0020.26 +0001.32) | 000.0079% |
| Cluster 0003 | 10750 | (+0013.19 +0022.50 +0008.36) | 012.0632% |
| Cluster 0004 | 4231 | (-0010.24 +0022.14 +0011.24) | 004.7479% |
| Cluster 0005 | 6336 | (-0001.18 +0001.45 +0010.38) | 007.1100% |
| Cluster 0006 | 4029 | (+0002.55 +0022.16 +0015.15) | 004.5212% |
| Cluster 0007 | 11304 | (+0007.66 +0005.73 +0013.53) | 012.6849% |
| Cluster 0008 | 7390 | (-0011.74 +0013.41 +0017.93) | 008.2927% |
| Cluster 0009 | 22838 | (-0009.97 +0011.60 +0029.64) | 025.6278% |
| Cluster 0010 | 0228 | (-0006.32 +0002.15 +0034.52) | 000.2559% |
