Molecule : 3VI3
Nb of atoms : 84971
Nb of clusters : 10
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 13745 | (+0010.65 +0001.98 -0008.96) | 016.1761% |
| Cluster 0001 | 9362 | (+0000.29 -0005.75 -0004.00) | 011.0179% |
| Cluster 0002 | 0001 | (+0002.97 +0007.26 -0014.11) | 000.0012% |
| Cluster 0003 | 8755 | (+0013.40 +0013.30 -0007.67) | 010.3035% |
| Cluster 0004 | 0068 | (+0006.58 -0011.43 -0007.83) | 000.0800% |
| Cluster 0005 | 0168 | (-0010.40 -0003.90 -0003.50) | 000.1977% |
| Cluster 0006 | 25517 | (+0013.53 +0017.44 +0007.15) | 030.0302% |
| Cluster 0007 | 23652 | (+0002.42 +0000.65 +0005.90) | 027.8354% |
| Cluster 0008 | 0079 | (-0008.74 +0001.10 +0006.78) | 000.0930% |
| Cluster 0009 | 3624 | (+0006.58 +0010.67 +0010.61) | 004.2650% |
