Molecule : 4G1M
Nb of atoms : 119226
Nb of clusters : 29
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 7856 | (-0010.70 +0021.84 -0002.77) | 006.5892% |
| Cluster 0001 | 3142 | (-0018.03 +0009.21 -0000.38) | 002.6353% |
| Cluster 0002 | 2502 | (+0002.35 +0018.19 -0000.44) | 002.0985% |
| Cluster 0003 | 7956 | (-0011.22 +0013.88 +0002.04) | 006.6730% |
| Cluster 0004 | 5544 | (+0007.63 +0020.60 +0002.21) | 004.6500% |
| Cluster 0005 | 6552 | (+0006.27 +0022.70 +0005.30) | 005.4954% |
| Cluster 0006 | 6948 | (-0006.79 +0011.68 +0005.36) | 005.8276% |
| Cluster 0007 | 2136 | (-0002.01 +0022.50 +0008.53) | 001.7916% |
| Cluster 0008 | 3183 | (-0004.68 +0007.94 +0008.74) | 002.6697% |
| Cluster 0009 | 3003 | (+0011.23 +0020.76 +0008.93) | 002.5187% |
| Cluster 0010 | 0678 | (-0020.42 +0014.29 +0008.63) | 000.5687% |
| Cluster 0011 | 2768 | (+0009.18 +0008.44 +0010.86) | 002.3216% |
| Cluster 0012 | 2310 | (-0012.75 +0019.48 +0011.02) | 001.9375% |
| Cluster 0013 | 2890 | (+0010.04 +0026.26 +0010.90) | 002.4240% |
| Cluster 0014 | 0488 | (-0011.82 +0006.77 +0010.32) | 000.4093% |
| Cluster 0015 | 0544 | (-0004.47 +0026.29 +0010.34) | 000.4563% |
| Cluster 0016 | 1445 | (+0009.78 +0007.79 +0012.68) | 001.2120% |
| Cluster 0017 | 1743 | (-0015.67 +0013.44 +0012.74) | 001.4619% |
| Cluster 0018 | 3482 | (-0003.60 +0021.89 +0013.35) | 002.9205% |
| Cluster 0019 | 2330 | (+0009.35 +0024.18 +0012.84) | 001.9543% |
| Cluster 0020 | 2878 | (-0005.71 +0018.27 +0014.92) | 002.4139% |
| Cluster 0021 | 2655 | (+0005.53 +0018.83 +0015.95) | 002.2269% |
| Cluster 0022 | 3612 | (+0009.33 +0007.94 +0016.64) | 003.0295% |
| Cluster 0023 | 0548 | (-0006.21 +0006.14 +0016.47) | 000.4596% |
| Cluster 0024 | 0646 | (-0017.20 +0015.09 +0016.28) | 000.5418% |
| Cluster 0025 | 1961 | (+0008.25 +0014.48 +0018.25) | 001.6448% |
| Cluster 0026 | 14700 | (-0009.05 +0012.58 +0021.91) | 012.3295% |
| Cluster 0027 | 22500 | (-0006.58 +0011.84 +0031.08) | 018.8717% |
| Cluster 0028 | 2226 | (-0007.76 +0010.25 +0036.59) | 001.8670% |
