Molecule : 3VI4
Nb of atoms : 68476
Nb of clusters : 14
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 5282 | (+0009.67 -0001.39 -0011.82) | 007.7137% |
| Cluster 0001 | 9732 | (+0013.36 +0011.91 -0006.55) | 014.2123% |
| Cluster 0002 | 1815 | (-0003.93 -0003.09 -0006.23) | 002.6506% |
| Cluster 0003 | 3746 | (-0005.55 +0003.68 -0003.75) | 005.4705% |
| Cluster 0004 | 8493 | (+0006.20 +0001.06 -0001.72) | 012.4029% |
| Cluster 0005 | 1123 | (+0013.48 +0014.54 -0004.44) | 001.6400% |
| Cluster 0006 | 6597 | (+0000.32 +0004.40 +0003.29) | 009.6340% |
| Cluster 0007 | 4668 | (+0013.35 +0016.41 +0004.98) | 006.8170% |
| Cluster 0008 | 0027 | (-0011.35 -0007.20 +0003.29) | 000.0394% |
| Cluster 0009 | 7942 | (+0012.22 +0018.68 +0007.45) | 011.5982% |
| Cluster 0010 | 1328 | (+0003.15 +0010.24 +0006.80) | 001.9394% |
| Cluster 0011 | 3247 | (-0000.95 -0003.92 +0007.71) | 004.7418% |
| Cluster 0012 | 13340 | (+0008.33 +0012.84 +0010.89) | 019.4813% |
| Cluster 0013 | 1136 | (-0001.12 -0002.90 +0009.47) | 001.6590% |
