Molecule : 4G1M
Nb of atoms : 109250
Nb of clusters : 29
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 7999 | (-0004.28 +0022.02 +0000.83) | 007.3217% |
| Cluster 0001 | 4815 | (-0019.39 +0011.00 +0000.99) | 004.4073% |
| Cluster 0002 | 1526 | (-0012.75 +0010.00 +0003.33) | 001.3968% |
| Cluster 0003 | 3071 | (-0002.86 +0013.86 +0004.38) | 002.8110% |
| Cluster 0004 | 5089 | (+0009.91 +0022.47 +0004.66) | 004.6581% |
| Cluster 0005 | 5380 | (+0013.74 +0021.68 +0006.18) | 004.9245% |
| Cluster 0006 | 5201 | (+0001.74 +0011.50 +0006.82) | 004.7606% |
| Cluster 0007 | 0265 | (-0014.79 +0019.57 +0006.91) | 000.2426% |
| Cluster 0008 | 0103 | (-0001.61 +0023.35 +0007.82) | 000.0943% |
| Cluster 0009 | 4268 | (+0016.40 +0021.89 +0008.44) | 003.9066% |
| Cluster 0010 | 0900 | (-0014.02 +0023.31 +0008.64) | 000.8238% |
| Cluster 0011 | 0949 | (+0002.06 +0015.93 +0009.28) | 000.8686% |
| Cluster 0012 | 2219 | (-0007.64 +0008.71 +0009.85) | 002.0311% |
| Cluster 0013 | 0603 | (+0013.44 +0011.22 +0010.47) | 000.5519% |
| Cluster 0014 | 3303 | (+0009.40 +0025.20 +0011.19) | 003.0233% |
| Cluster 0015 | 4976 | (-0005.08 +0025.30 +0011.40) | 004.5547% |
| Cluster 0016 | 0796 | (+0014.48 +0011.36 +0011.31) | 000.7286% |
| Cluster 0017 | 0619 | (-0007.51 +0008.31 +0011.26) | 000.5666% |
| Cluster 0018 | 1525 | (+0014.00 +0011.17 +0012.45) | 001.3959% |
| Cluster 0019 | 3072 | (-0006.94 +0011.41 +0012.99) | 002.8119% |
| Cluster 0020 | 4289 | (+0008.69 +0020.06 +0014.69) | 003.9259% |
| Cluster 0021 | 1020 | (-0005.26 +0024.38 +0013.06) | 000.9336% |
| Cluster 0022 | 0388 | (-0018.59 +0015.01 +0015.16) | 000.3551% |
| Cluster 0023 | 0677 | (-0005.70 +0005.67 +0016.43) | 000.6197% |
| Cluster 0024 | 8243 | (+0004.89 +0018.22 +0016.38) | 007.5451% |
| Cluster 0025 | 0173 | (-0016.65 +0014.22 +0016.07) | 000.1584% |
| Cluster 0026 | 8904 | (-0012.51 +0015.32 +0021.22) | 008.1501% |
| Cluster 0027 | 2938 | (+0007.91 +0013.17 +0018.24) | 002.6892% |
| Cluster 0028 | 25939 | (-0005.49 +0012.10 +0031.60) | 023.7428% |
