Molecule : 3VI3
Nb of atoms : 109536
Nb of clusters : 24
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 6809 | (-0000.77 -0000.45 -0000.17) | 006.2162% |
| Cluster 0001 | 6520 | (+0012.00 +0004.34 -0000.17) | 005.9524% |
| Cluster 0002 | 0171 | (+0013.26 -0009.54 -0000.14) | 000.1561% |
| Cluster 0003 | 2981 | (+0016.10 +0008.10 -0000.11) | 002.7215% |
| Cluster 0004 | 8392 | (+0004.64 +0000.90 -0000.12) | 007.6614% |
| Cluster 0005 | 0024 | (-0005.54 -0016.69 -0000.11) | 000.0219% |
| Cluster 0006 | 11731 | (+0004.29 -0001.35 -0000.09) | 010.7097% |
| Cluster 0007 | 3704 | (+0013.79 +0006.40 -0000.09) | 003.3815% |
| Cluster 0008 | 0007 | (-0006.06 -0017.36 -0000.09) | 000.0064% |
| Cluster 0009 | 0161 | (+0015.96 -0007.88 -0000.08) | 000.1470% |
| Cluster 0010 | 12487 | (+0009.83 +0006.11 -0000.07) | 011.3999% |
| Cluster 0011 | 4622 | (+0003.83 -0007.05 -0000.07) | 004.2196% |
| Cluster 0012 | 10312 | (+0008.99 +0003.97 -0000.05) | 009.4143% |
| Cluster 0013 | 1297 | (+0004.22 -0009.31 -0000.05) | 001.1841% |
| Cluster 0014 | 0088 | (+0016.24 -0009.43 -0000.06) | 000.0803% |
| Cluster 0015 | 5468 | (+0004.67 -0005.99 -0000.03) | 004.9920% |
| Cluster 0016 | 9367 | (+0011.93 +0007.09 -0000.03) | 008.5515% |
| Cluster 0017 | 3622 | (+0005.58 -0008.11 -0000.01) | 003.3067% |
| Cluster 0018 | 10048 | (+0012.30 +0004.74 -0000.01) | 009.1732% |
| Cluster 0019 | 0049 | (-0006.02 -0016.01 -0000.01) | 000.0447% |
| Cluster 0020 | 2235 | (-0001.30 +0002.57 -0000.00) | 002.0404% |
| Cluster 0021 | 4233 | (+0017.21 +0006.62 +0000.01) | 003.8645% |
| Cluster 0022 | 1869 | (+0004.70 -0008.14 +0000.03) | 001.7063% |
| Cluster 0023 | 3339 | (+0005.95 +0006.43 +0000.03) | 003.0483% |
