Molecule : 3VI4
Nb of atoms : 71320
Nb of clusters : 17
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 4872 | (-0000.11 +0000.67 -0000.24) | 006.8312% |
| Cluster 0001 | 2786 | (+0017.47 +0008.27 -0000.26) | 003.9063% |
| Cluster 0002 | 1342 | (+0014.32 -0006.07 -0000.24) | 001.8817% |
| Cluster 0003 | 16336 | (+0006.62 +0000.75 -0000.16) | 022.9052% |
| Cluster 0004 | 1134 | (+0000.29 -0009.58 -0000.17) | 001.5900% |
| Cluster 0005 | 0530 | (+0015.77 -0006.73 -0000.17) | 000.7431% |
| Cluster 0006 | 7691 | (+0011.69 +0005.68 -0000.12) | 010.7838% |
| Cluster 0007 | 1491 | (-0002.57 +0003.78 -0000.13) | 002.0906% |
| Cluster 0008 | 3810 | (+0006.14 -0007.04 -0000.13) | 005.3421% |
| Cluster 0009 | 0632 | (-0001.68 -0013.23 -0000.10) | 000.8861% |
| Cluster 0010 | 0030 | (+0015.39 -0007.87 -0000.11) | 000.0421% |
| Cluster 0011 | 12317 | (+0009.57 +0003.74 -0000.09) | 017.2701% |
| Cluster 0012 | 2413 | (+0005.86 -0007.99 -0000.05) | 003.3833% |
| Cluster 0013 | 10989 | (+0011.43 +0004.80 -0000.04) | 015.4080% |
| Cluster 0014 | 1766 | (+0017.64 -0006.08 -0000.00) | 002.4762% |
| Cluster 0015 | 2327 | (+0012.87 +0008.12 +0000.02) | 003.2628% |
| Cluster 0016 | 0854 | (-0001.02 -0004.80 +0000.03) | 001.1974% |
