Molecule : 4G1M
Nb of atoms : 106740
Nb of clusters : 15
Total percentage : 100.0000%
| Cluster ID | Nb of atoms | Center of mass | Percentage |
| Cluster 0000 | 1294 | (+0021.02 +0001.98 -0000.31) | 001.2123% |
| Cluster 0001 | 14324 | (+0015.17 +0014.68 -0000.21) | 013.4195% |
| Cluster 0002 | 0092 | (+0003.38 -0000.46 -0000.35) | 000.0862% |
| Cluster 0003 | 1120 | (+0010.99 +0030.11 -0000.31) | 001.0493% |
| Cluster 0004 | 2817 | (+0017.41 +0002.85 -0000.17) | 002.6391% |
| Cluster 0005 | 16353 | (+0013.88 +0016.44 -0000.15) | 015.3204% |
| Cluster 0006 | 15245 | (+0015.29 +0011.66 -0000.13) | 014.2824% |
| Cluster 0007 | 2755 | (+0011.94 +0027.21 -0000.13) | 002.5810% |
| Cluster 0008 | 13289 | (+0016.35 +0010.79 -0000.10) | 012.4499% |
| Cluster 0009 | 6389 | (+0012.49 +0031.11 -0000.09) | 005.9856% |
| Cluster 0010 | 17399 | (+0017.66 +0012.78 -0000.06) | 016.3004% |
| Cluster 0011 | 2980 | (+0012.75 +0032.15 -0000.06) | 002.7918% |
| Cluster 0012 | 0518 | (+0023.70 -0000.12 -0000.03) | 000.4853% |
| Cluster 0013 | 11001 | (+0018.19 +0015.11 +0000.00) | 010.3064% |
| Cluster 0014 | 1164 | (+0012.33 +0030.25 +0000.03) | 001.0905% |
